,White,Black,Native American,Asian,Pacific Islander,Other,Mixed-race,Hispanic or Latino,Med HH Income,Med Family Income,Med Male Income,Med Female Income,Per Capita Income,Family poverty,Overall poverty,Child poverty,Senior poverty
Allegan,91.44%,4.71%,0.25%,0.64%,0.04%,1.34%,1.57%,2.85%,$39,539.00,$45,833.00,$35,417.00,$25,669.00,$17,075.00,10.80%,13.50%,13.70%,13.10%
Allegan County,93.47%,1.31%,0.55%,0.55%,0.03%,2.77%,1.32%,5.72%,$45,813.00,$51,908.00,$38,681.00,$26,887.00,$19,918.00,5.00%,7.30%,7.50%,7.90%
Allegan Township,97.04%,0.52%,0.30%,0.27%,,0.62%,1.26%,1.65%,$40,760.00,$48,125.00,$37,383.00,$29,716.00,$18,545.00,4.80%,8.10%,8.20%,10.60%
Allen,98.67%,,,,,,1.33%,,$42,344.00,$45,417.00,$30,250.00,$21,111.00,$14,251.00,8.00%,5.50%,0.00%,0.00%
Allen Park,95.60%,0.70%,0.36%,0.81%,0.02%,1.21%,1.27%,4.73%,$51,992.00,$63,350.00,$50,143.00,$31,168.00,$24,980.00,1.90%,3.20%,3.30%,4.50%
Allen Township,97.98%,0.31%,0.49%,0.12%,,0.06%,1.04%,0.67%,$44,213.00,$47,813.00,$32,176.00,$23,203.00,$17,734.00,5.30%,7.40%,9.10%,6.40%
Allendale,93.22%,2.97%,0.34%,0.89%,0.08%,1.45%,1.06%,3.03%,$46,671.00,$58,371.00,$39,038.00,$25,146.00,$14,580.00,2.40%,12.50%,2.50%,3.60%
Allendale Charter Township,93.61%,2.68%,0.35%,0.84%,0.07%,1.43%,1.01%,2.88%,$48,669.00,$58,576.00,$40,419.00,$25,188.00,$15,065.00,2.80%,11.70%,3.90%,3.30%
Allis Township,97.20%,,1.16%,0.48%,,0.19%,0.97%,0.39%,$31,477.00,$33,750.00,$30,515.00,$17,656.00,$14,419.00,8.20%,12.00%,15.60%,7.40%
Allouez Township,98.93%,,0.06%,0.13%,,0.06%,0.82%,0.19%,$26,500.00,$34,904.00,$26,034.00,$21,250.00,$14,974.00,9.40%,14.70%,15.60%,16.40%
Alma,93.75%,0.53%,0.52%,0.75%,0.01%,2.57%,1.88%,6.21%,$33,536.00,$44,229.00,$35,013.00,$20,655.00,$18,218.00,8.50%,11.60%,12.10%,7.60%
Almena Township,96.19%,1.23%,0.78%,0.28%,0.07%,0.73%,0.71%,1.42%,$51,027.00,$56,653.00,$40,371.00,$28,896.00,$20,733.00,3.40%,5.30%,7.90%,6.70%
Almer Township,96.96%,0.20%,0.56%,0.46%,,0.69%,1.12%,2.65%,$39,491.00,$49,878.00,$36,140.00,$31,111.00,$19,464.00,3.00%,6.90%,5.70%,0.00%
Almira Township,97.69%,0.21%,0.60%,0.07%,,0.25%,1.17%,1.14%,$46,389.00,$49,024.00,$33,164.00,$25,759.00,$20,137.00,3.30%,4.00%,3.20%,1.40%
Almont,95.54%,0.32%,0.54%,0.36%,,2.32%,0.93%,4.14%,$53,984.00,$63,261.00,$50,644.00,$26,667.00,$21,252.00,4.20%,5.60%,5.80%,8.20%
Almont Township,96.69%,0.18%,0.38%,0.33%,,1.49%,0.93%,3.05%,$65,000.00,$69,055.00,$53,795.00,$28,750.00,$23,608.00,1.80%,3.00%,2.80%,4.10%
Aloha Township,95.29%,,2.50%,0.38%,,0.10%,1.73%,0.38%,$34,853.00,$41,406.00,$32,955.00,$22,206.00,$18,656.00,9.60%,13.90%,17.10%,8.90%
Alpena,97.66%,0.42%,0.43%,0.48%,0.01%,0.09%,0.91%,0.59%,$30,353.00,$40,056.00,$34,534.00,$21,951.00,$17,476.00,10.40%,13.50%,16.50%,6.60%
Alpena Township,98.39%,0.10%,0.43%,0.42%,,0.11%,0.55%,0.56%,$39,889.00,$46,181.00,$34,930.00,$22,813.00,$18,779.00,5.50%,8.20%,9.10%,6.70%
Alpha,99.49%,,,,,,0.51%,,$21,750.00,$27,917.00,$20,750.00,$23,750.00,$12,084.00,7.00%,11.00%,7.10%,5.40%
Alpine Township,89.55%,3.11%,0.77%,1.51%,0.05%,2.85%,2.17%,6.55%,$42,484.00,$50,068.00,$37,143.00,$26,417.00,$20,412.00,6.90%,8.90%,9.30%,5.80%
Amber Township,96.64%,0.54%,0.68%,0.39%,0.10%,0.54%,1.12%,2.48%,$43,458.00,$46,701.00,$35,893.00,$21,842.00,$17,833.00,4.20%,4.90%,4.70%,3.80%
Amboy Township,99.59%,,0.16%,,,,0.25%,0.90%,$42,250.00,$45,250.00,$36,118.00,$25,809.00,$20,578.00,6.50%,10.70%,15.30%,5.10%
Ann Arbor,73.00%,7.70%,0.30%,14.40%,0.00%,1.00%,3.60%,,$46,299.00,$71,293.00,$48,880.00,$36,561.00,$26,419.00,4.60%,16.60%,7.30%,5.10%
Ann Arbor Charter Township,81.21%,2.25%,0.17%,13.58%,0.06%,0.85%,1.89%,2.22%,$86,797.00,$103,102.00,$75,176.00,$45,320.00,$56,084.00,1.20%,3.20%,1.70%,1.60%
Antioch Township,96.91%,,1.73%,0.49%,,,0.86%,0.86%,$32,679.00,$35,375.00,$28,000.00,$20,000.00,$15,387.00,5.90%,9.70%,11.90%,2.80%
Antrim Township,97.56%,0.10%,0.10%,0.24%,0.05%,0.49%,1.46%,1.71%,$53,092.00,$59,438.00,$45,052.00,$28,571.00,$20,806.00,3.10%,4.60%,2.20%,8.60%
Antwerp Township,93.54%,1.29%,0.35%,0.52%,,2.19%,2.10%,5.07%,$50,556.00,$56,424.00,$39,363.00,$27,321.00,$19,418.00,3.90%,5.40%,3.80%,10.50%
Applegate,96.52%,,,,,2.09%,1.39%,6.97%,$32,188.00,$36,094.00,$26,964.00,$20,000.00,$12,977.00,0.00%,3.90%,0.00%,10.80%
Arbela Township,96.99%,0.28%,0.65%,0.12%,0.16%,0.50%,1.30%,1.83%,$44,840.00,$51,630.00,$38,365.00,$21,563.00,$17,519.00,3.20%,4.60%,3.30%,3.30%
Arcada Township,96.08%,0.12%,0.18%,0.41%,,1.23%,1.99%,4.63%,$44,097.00,$50,161.00,$36,063.00,$23,611.00,$20,781.00,5.60%,7.50%,8.40%,4.00%
Arcadia Township, Lapeer County,98.40%,0.31%,0.13%,0.13%,,0.53%,0.50%,1.75%,$56,458.00,$61,563.00,$47,237.00,$24,444.00,$22,080.00,3.30%,4.90%,6.90%,7.10%
Arcadia Township, Manistee County,98.55%,0.16%,0.32%,0.16%,,0.16%,0.64%,1.13%,$34,844.00,$41,731.00,$24,844.00,$22,813.00,$23,089.00,9.80%,13.30%,25.00%,4.70%
Arenac County,95.38%,1.82%,0.95%,0.29%,0.01%,0.21%,1.33%,1.38%,$32,805.00,$39,033.00,$31,205.00,$20,363.00,$16,300.00,11.30%,13.90%,20.70%,7.80%
Arenac Township,96.57%,0.40%,1.31%,0.10%,,0.10%,1.51%,0.71%,$35,417.00,$39,000.00,$30,000.00,$23,194.00,$16,673.00,9.80%,12.40%,18.40%,9.00%
Argentine,96.72%,0.26%,0.83%,0.13%,,0.31%,1.75%,1.53%,$61,675.00,$71,875.00,$56,146.00,$31,864.00,$26,145.00,2.00%,2.20%,3.10%,0.00%
Argentine Township,97.21%,0.23%,0.84%,0.18%,0.08%,0.25%,1.21%,1.17%,$60,641.00,$65,764.00,$52,742.00,$32,328.00,$24,343.00,1.70%,2.20%,3.00%,0.00%
Argyle Township,97.70%,,0.40%,,,0.30%,1.70%,0.80%,$35,341.00,$43,125.00,$30,400.00,$21,094.00,$17,012.00,4.20%,7.50%,9.00%,14.30%
Arlington Township,89.98%,3.71%,0.53%,,,4.14%,1.64%,7.23%,$36,847.00,$38,300.00,$31,528.00,$22,303.00,$16,349.00,7.80%,11.20%,9.90%,9.10%
Armada,97.71%,0.19%,0.57%,0.13%,0.06%,0.19%,1.14%,1.65%,$61,700.00,$69,917.00,$50,795.00,$32,330.00,$22,446.00,2.90%,3.60%,3.80%,6.50%
Armada Township,98.06%,0.11%,0.29%,0.11%,0.02%,0.38%,1.03%,1.52%,$68,421.00,$77,019.00,$52,191.00,$32,146.00,$24,766.00,1.80%,2.00%,1.50%,3.10%
Arthur Township,98.50%,0.45%,0.15%,,,,0.90%,,$39,148.00,$42,404.00,$31,458.00,$21,979.00,$18,380.00,6.20%,8.50%,11.10%,3.00%
Arvon Township,93.36%,,3.11%,0.41%,,,3.11%,,$31,705.00,$39,545.00,$26,786.00,$22,292.00,$19,800.00,3.80%,8.00%,18.90%,6.80%
Ash Township,97.08%,0.32%,0.32%,0.22%,0.01%,0.33%,1.72%,1.75%,$54,439.00,$61,020.00,$47,892.00,$25,699.00,$24,271.00,4.60%,6.30%,9.00%,4.70%
Ashland Township,93.50%,0.54%,0.51%,0.23%,,3.58%,1.63%,9.42%,$42,151.00,$46,098.00,$36,369.00,$25,347.00,$18,232.00,8.60%,12.50%,16.50%,1.90%
Ashley,99.24%,0.38%,,,,0.19%,0.19%,0.38%,$32,917.00,$35,833.00,$33,125.00,$19,500.00,$15,714.00,10.80%,14.10%,16.40%,23.50%
Assyria Township,97.65%,0.63%,0.63%,0.16%,,0.26%,0.68%,1.10%,$50,192.00,$53,188.00,$39,375.00,$26,012.00,$20,908.00,1.40%,2.80%,1.10%,6.50%
Athens,97.48%,0.27%,0.81%,,0.27%,0.09%,1.08%,1.89%,$42,083.00,$49,375.00,$36,618.00,$26,875.00,$16,409.00,3.70%,5.30%,5.90%,6.30%
Athens Township,96.93%,0.19%,1.21%,0.08%,0.12%,0.31%,1.17%,1.56%,$43,929.00,$49,607.00,$37,039.00,$26,500.00,$18,864.00,3.70%,5.20%,6.20%,5.20%
Atlanta,98.41%,0.13%,0.40%,0.40%,,,0.66%,0.40%,$23,529.00,$37,188.00,$28,250.00,$18,854.00,$15,178.00,19.20%,23.80%,33.80%,12.50%
Atlas Township,97.56%,0.33%,0.32%,0.51%,0.12%,0.25%,0.91%,1.07%,$73,720.00,$78,349.00,$59,213.00,$32,156.00,$27,960.00,2.60%,4.00%,3.20%,5.10%
Attica Township,96.86%,0.13%,0.58%,0.43%,0.02%,1.18%,0.81%,2.65%,$50,392.00,$56,463.00,$53,438.00,$25,594.00,$22,226.00,1.70%,3.60%,3.10%,3.60%
Au Gres,95.43%,0.29%,1.17%,0.29%,0.10%,,2.72%,0.49%,$24,511.00,$34,348.00,$26,641.00,$18,295.00,$15,229.00,17.50%,17.50%,29.00%,10.90%
Au Gres Township,97.52%,0.10%,0.89%,0.30%,0.10%,,1.09%,0.10%,$34,141.00,$39,167.00,$34,231.00,$21,136.00,$18,049.00,7.40%,9.40%,20.30%,3.70%
Au Sable,96.41%,1.11%,0.33%,0.39%,,0.07%,1.70%,0.65%,$36,989.00,$41,667.00,$27,500.00,$18,989.00,$21,035.00,5.00%,8.00%,12.70%,4.80%
Au Sable Township, Roscommon County,100.00%,,,,,,,,$30,000.00,$29,375.00,$30,083.00,$29,063.00,$13,651.00,17.30%,23.90%,40.00%,20.00%
Au Train Township,92.24%,,4.69%,,,0.17%,2.90%,0.94%,$40,331.00,$42,857.00,$36,563.00,$24,844.00,$18,751.00,8.10%,10.20%,7.70%,6.70%
Auburn,97.51%,0.35%,0.55%,0.30%,,0.35%,0.94%,2.39%,$42,014.00,$51,442.00,$41,927.00,$25,720.00,$20,941.00,5.10%,6.40%,9.50%,11.60%
Auburn Hills,75.92%,13.22%,0.32%,6.33%,0.04%,1.56%,2.61%,4.50%,$51,376.00,$60,849.00,$45,686.00,$34,015.00,$25,529.00,3.90%,6.30%,6.40%,4.40%
Augusta,95.77%,0.67%,1.11%,0.22%,,0.33%,1.89%,1.33%,$44,375.00,$52,250.00,$36,087.00,$30,625.00,$19,207.00,6.00%,4.80%,4.20%,6.50%
Augusta Charter Township,92.20%,5.30%,0.30%,0.20%,0.10%,0.20%,1.30%,0.70%,$65,033.00,$70,444.00,$52,367.00,$31,146.00,$27,509.00,4.80%,5.40%,1.60%,14.20%
Aurelius Township,96.50%,0.63%,0.39%,0.27%,,0.81%,1.39%,3.62%,$62,750.00,$69,712.00,$45,341.00,$30,959.00,$22,983.00,1.90%,3.90%,3.10%,1.30%
Austin Township, Mecosta County,98.09%,0.28%,0.57%,0.14%,,0.21%,0.71%,1.13%,$34,674.00,$40,417.00,$31,184.00,$25,052.00,$15,986.00,6.50%,11.60%,18.10%,7.30%
Austin Township, Sanilac County,99.26%,0.15%,0.45%,,,,0.15%,0.45%,$35,139.00,$38,594.00,$27,708.00,$21,250.00,$15,041.00,9.40%,11.10%,14.30%,21.40%
Avery Township,97.07%,1.53%,0.84%,,,,0.56%,0.42%,$27,723.00,$28,261.00,$24,464.00,$15,833.00,$14,677.00,11.00%,17.40%,33.10%,10.90%
Backus Township,98.57%,,0.86%,,,,0.57%,1.43%,$32,222.00,$38,750.00,$35,833.00,$20,625.00,$15,836.00,11.90%,17.50%,22.00%,11.10%
Bad Axe,97.57%,0.26%,0.26%,0.58%,,0.38%,0.95%,1.53%,$32,125.00,$42,650.00,$34,758.00,$20,288.00,$17,465.00,9.30%,14.10%,16.10%,14.30%
Bagley Township,97.48%,0.22%,0.55%,0.34%,0.02%,0.12%,1.27%,0.77%,$44,205.00,$50,727.00,$36,723.00,$21,388.00,$21,116.00,5.80%,6.10%,5.90%,9.60%
Bainbridge Township,95.47%,0.57%,0.67%,0.10%,0.10%,1.92%,1.18%,12.90%,$38,750.00,$46,250.00,$32,991.00,$26,290.00,$17,854.00,7.40%,12.50%,16.90%,8.10%
Baldwin,59.62%,34.33%,1.36%,,,0.45%,4.25%,2.71%,$15,550.00,$22,857.00,$26,042.00,$21,364.00,$9,619.00,32.00%,35.90%,44.70%,21.10%
Baldwin Township, Delta County,96.26%,,2.27%,0.40%,,0.27%,0.80%,0.40%,$35,917.00,$42,969.00,$40,865.00,$21,563.00,$17,532.00,3.40%,3.90%,0.70%,3.10%
Baldwin Township, Iosco County,96.99%,0.23%,1.10%,0.70%,0.12%,,0.87%,0.81%,$29,783.00,$33,889.00,$29,952.00,$21,615.00,$17,367.00,7.90%,9.20%,9.50%,8.70%
Baltimore Township,98.37%,0.22%,0.22%,0.22%,,0.11%,0.87%,0.76%,$45,761.00,$50,197.00,$33,929.00,$23,309.00,$20,405.00,4.40%,9.80%,11.10%,2.20%
Bancroft,96.43%,,0.32%,,,0.16%,3.08%,1.14%,$41,538.00,$42,500.00,$35,972.00,$22,500.00,$15,451.00,8.50%,10.30%,9.40%,8.50%
Bangor,75.58%,12.73%,1.09%,0.21%,,7.92%,2.48%,12.16%,$28,165.00,$34,500.00,$27,159.00,$20,850.00,$14,925.00,13.20%,16.30%,19.30%,16.20%
Bangor Township, Van Buren County,85.71%,3.96%,1.18%,0.19%,,6.46%,2.50%,13.06%,$35,375.00,$38,355.00,$32,313.00,$21,953.00,$16,759.00,9.70%,11.60%,17.40%,6.80%
Banks Township,97.79%,0.17%,0.72%,0.28%,,0.33%,0.72%,1.38%,$41,500.00,$46,250.00,$35,481.00,$25,417.00,$17,378.00,5.40%,7.20%,8.70%,10.90%
Baraga,68.79%,0.16%,23.97%,0.62%,,0.31%,6.15%,0.86%,$26,290.00,$33,906.00,$31,838.00,$21,333.00,$14,795.00,9.80%,15.60%,14.20%,20.10%
Baraga County,,,,,,,,,$40,115.00,$50,996.00,,,$19,076.00,9.50%,13.00%,19.20%,6.70%
Baraga Township,67.56%,12.11%,14.00%,0.40%,,0.48%,5.45%,1.19%,$32,639.00,$41,750.00,$32,373.00,$23,516.00,$14,550.00,8.20%,11.80%,15.00%,11.80%
Bark River Township,95.09%,0.12%,2.67%,0.36%,,0.24%,1.52%,0.18%,$41,477.00,$45,221.00,$32,083.00,$23,188.00,$16,649.00,3.70%,5.80%,6.30%,8.00%
Barnes Lake-Millers Lake,96.55%,0.25%,0.42%,0.25%,,1.18%,1.35%,2.61%,$48,889.00,$59,514.00,$39,375.00,$25,000.00,$22,103.00,0.00%,2.50%,0.00%,0.00%
Baroda,96.74%,0.47%,0.35%,0.58%,,0.35%,1.52%,0.93%,$36,250.00,$41,979.00,$32,411.00,$24,107.00,$16,412.00,6.00%,7.90%,8.10%,10.70%
Baroda Township,96.42%,0.24%,0.24%,0.35%,0.07%,2.01%,0.66%,2.57%,$44,219.00,$47,161.00,$35,350.00,$25,571.00,$21,837.00,2.20%,4.70%,4.50%,7.40%
Barry County,97.39%,0.24%,0.46%,0.27%,0.01%,0.50%,1.12%,1.46%,$46,820.00,$51,794.00,$38,991.00,$26,387.00,$20,636.00,3.90%,5.50%,5.90%,5.90%
Barry Township,97.56%,0.37%,0.63%,0.43%,,0.11%,0.89%,1.12%,$45,339.00,$50,116.00,$37,929.00,$21,451.00,$22,370.00,3.00%,5.50%,5.80%,8.80%
Barryton,95.28%,1.84%,0.79%,,,,2.10%,1.57%,$23,333.00,$28,750.00,$28,125.00,$21,250.00,$12,166.00,15.10%,18.00%,22.80%,12.70%
Barton Hills,88.96%,1.49%,,5.07%,0.30%,0.30%,3.88%,1.19%,,,,,,,,,
Barton Township,98.29%,0.12%,0.85%,0.12%,,0.12%,0.49%,0.98%,$35,000.00,$38,359.00,$28,281.00,$21,953.00,$16,243.00,5.30%,9.40%,8.90%,2.50%
Batavia Township,97.28%,0.91%,0.13%,0.06%,,0.65%,0.97%,1.62%,$41,351.00,$46,667.00,$33,542.00,$21,806.00,$18,526.00,5.50%,9.40%,11.20%,14.90%
Bates Township,97.36%,0.10%,1.57%,0.10%,,0.20%,0.69%,0.69%,$31,983.00,$41,094.00,$27,375.00,$21,307.00,$19,194.00,3.60%,7.10%,13.90%,0.90%
Battle Creek,74.65%,17.80%,0.77%,1.94%,0.01%,2.11%,2.72%,4.64%,$35,491.00,$43,564.00,$36,838.00,$26,429.00,$18,424.00,10.70%,14.40%,17.50%,11.80%
Bay City,91.19%,2.72%,0.74%,0.53%,0.01%,2.47%,2.33%,6.72%,$30,425.00,$38,252.00,$32,094.00,$21,494.00,$16,550.00,10.30%,14.60%,19.10%,10.50%
Bay de Noc Township,96.96%,,0.61%,,,,2.43%,,$33,571.00,$43,250.00,$43,750.00,$30,250.00,$24,472.00,1.70%,7.00%,8.20%,10.60%
Bay Mills Township,44.98%,,51.40%,0.08%,,0.25%,3.29%,0.99%,$35,875.00,$39,286.00,$25,714.00,$21,250.00,$18,285.00,10.10%,11.80%,18.60%,1.40%
Bay Township,97.28%,,0.47%,0.56%,0.56%,0.28%,0.84%,0.56%,$48,462.00,$55,268.00,$38,462.00,$28,558.00,$25,594.00,1.80%,4.90%,5.80%,2.30%
Beal City,98.84%,,0.29%,,,0.29%,0.58%,0.29%,$37,500.00,$50,250.00,$31,875.00,$33,750.00,$16,185.00,5.50%,10.30%,8.20%,8.50%
Bear Creek Township,96.32%,0.09%,1.73%,0.59%,0.02%,0.23%,1.02%,1.02%,$44,129.00,$52,262.00,$36,483.00,$27,206.00,$22,534.00,3.10%,5.00%,6.20%,8.10%
Bear Lake,93.71%,,1.89%,2.52%,,0.31%,1.57%,4.72%,$31,389.00,$35,139.00,$30,000.00,$22,083.00,$15,170.00,9.20%,12.70%,25.00%,8.30%
Bear Lake Township, Kalkaska County,97.45%,0.13%,0.27%,0.13%,0.27%,,1.74%,0.27%,$36,875.00,$38,289.00,$29,821.00,$21,339.00,$17,570.00,8.10%,8.90%,11.90%,6.40%
Bear Lake Township, Manistee County,96.35%,0.38%,0.82%,0.69%,0.25%,0.50%,1.01%,3.72%,$37,898.00,$41,875.00,$35,114.00,$21,848.00,$18,186.00,6.10%,8.20%,12.20%,11.30%
Bearinger Township,97.60%,,0.01%,0.00%,,0.01%,0.00%,1.08%,$45,000.00,$48,125.00,$35,500.00,$25,625.00,$21,195.00,7.00%,10.90%,0.00%,6.00%
Beaugrand Township,93.78%,0.17%,2.25%,0.09%,,0.09%,3.63%,0.52%,$34,792.00,$39,779.00,$30,417.00,$20,625.00,$20,244.00,6.50%,9.50%,13.00%,4.30%
Beaver Creek Township,96.57%,0.20%,0.87%,,0.20%,1.35%,0.81%,1.95%,$36,613.00,$38,690.00,$35,000.00,$20,938.00,$18,388.00,7.40%,9.70%,9.30%,4.40%
Beaver Township, Bay County,98.82%,,0.14%,0.18%,,0.43%,0.43%,1.46%,$51,546.00,$55,972.00,$41,420.00,$27,303.00,$19,654.00,2.60%,5.40%,3.60%,16.10%
Beaver Township, Newaygo County,91.94%,2.30%,0.49%,,,3.95%,1.32%,4.77%,$29,500.00,$33,036.00,$33,958.00,$20,556.00,$11,098.00,16.40%,20.40%,32.10%,0.00%
Beaverton,97.02%,0.99%,0.63%,0.09%,,0.09%,1.18%,0.54%,$20,625.00,$27,813.00,$29,722.00,$18,558.00,$12,125.00,18.10%,21.90%,26.90%,15.20%
Beaverton Township,98.29%,0.11%,0.66%,0.17%,,0.11%,0.66%,0.55%,$36,823.00,$40,303.00,$35,577.00,$21,691.00,$15,370.00,9.80%,12.90%,17.50%,11.20%
Bedford Charter Township,84.05%,12.09%,0.34%,0.43%,0.06%,0.85%,2.18%,1.49%,$44,462.00,$51,230.00,$37,331.00,$26,435.00,$20,303.00,4.30%,5.80%,4.50%,6.20%
Bedford Township, Monroe County,97.56%,0.40%,0.20%,0.51%,0.01%,0.41%,0.92%,1.93%,$59,835.00,$67,239.00,$50,754.00,$31,165.00,$24,131.00,2.70%,4.50%,4.80%,5.00%
Beecher,65.90%,28.01%,0.59%,0.08%,0.04%,1.92%,3.41%,3.96%,$25,925.00,$26,500.00,$29,150.00,$21,870.00,$13,484.00,25.00%,30.30%,45.00%,9.30%
Beechwood,86.84%,1.21%,0.30%,4.25%,0.03%,5.50%,1.86%,13.47%,$46,676.00,$56,087.00,$37,000.00,$30,541.00,$22,968.00,5.90%,8.10%,15.20%,3.80%
Belding,95.20%,0.30%,0.50%,0.50%,0.10%,1.60%,1.80%,5.00%,,,,,,,,,
Belknap Township,98.48%,,1.05%,0.12%,,0.12%,0.23%,0.35%,$31,875.00,$37,386.00,$28,942.00,$19,722.00,$14,409.00,4.50%,7.70%,6.70%,14.40%
Bellaire,97.25%,0.17%,0.26%,0.34%,,0.17%,1.80%,2.23%,$32,243.00,$44,625.00,$31,950.00,$20,893.00,$18,327.00,3.00%,5.50%,4.30%,2.90%
Belleville,87.54%,7.88%,0.40%,1.18%,,0.95%,2.05%,2.53%,$44,196.00,$56,071.00,$47,759.00,$30,145.00,$25,927.00,3.50%,6.00%,1.50%,13.30%
Bellevue,98.10%,0.51%,0.22%,0.07%,,0.15%,0.95%,1.54%,$37,292.00,$44,554.00,$31,818.00,$25,221.00,$16,245.00,5.70%,7.80%,12.10%,9.00%
