,White,Black,Native American,Asian,Pacific Islander,Other,Mixed-race,Hispanic or Latino,Med HH Income,Med Family Income,Med Male Income,Med Female Income,Per Capita Income,Family poverty,Overall poverty,Child poverty,Senior poverty
Boone County,99.25%,0.05%,0.05%,0.03%,0.03%,0.30%,0.29%,0.89%,$31,444.00,$38,226.00,$26,779.00,$18,438.00,$15,831.00,8.30%,10.40%,11.70%,11.60%
Bow Valley,,,,,,,,,,,,,,,,,
Box Butte County,90.84%,0.37%,2.74%,0.53%,0.01%,3.55%,1.96%,7.65%,$39,366.00,$46,670.00,$36,966.00,$21,762.00,$18,407.00,9.70%,10.70%,13.70%,11.00%
Boyd County,98.89%,,0.57%,0.16%,,,0.37%,0.08%,$26,075.00,$32,000.00,$20,859.00,$17,688.00,$13,840.00,12.90%,15.20%,19.60%,11.20%
Boys Town,66.01%,21.15%,1.34%,0.49%,,5.01%,5.99%,7.58%,,,,,,,,,
Bradshaw,97.02%,,1.19%,,,0.89%,0.89%,0.89%,,,,,,,,,
Brady,98.91%,,0.27%,0.27%,,,0.55%,0.27%,,,,,,,,,
Brainard,99.43%,,,,,,0.57%,,,,,,,,,,
Brandon,,,,,,,,,,,,,,,,,
Brewster,100.00%,,,,,,,,,,,,,,,,
Bridgeport,90.72%,0.13%,1.57%,0.31%,,4.96%,2.32%,14.81%,,,,,,,,,
Bristow,95.45%,,3.41%,,,,1.14%,,,,,,,,,,
Broadwater,99.29%,,,,,0.71%,,1.43%,,,,,,,,,
Brock,95.06%,,3.09%,,,,1.85%,1.85%,$26,250.00,$28,000.00,$27,250.00,$17,813.00,$11,999.00,12.50%,11.50%,13.00%,6.70%
Broken Bow,98.22%,0.17%,0.66%,0.09%,,0.11%,0.74%,0.80%,,,,,,,,,
Brown County,98.64%,0.03%,0.20%,0.26%,0.03%,0.23%,0.62%,0.82%,$28,356.00,$35,029.00,$23,986.00,$17,135.00,$15,924.00,8.50%,11.10%,14.70%,6.80%
Brownlee,,,,,,,,,,,,,,,,,
Brownville,99.32%,,,,,,0.68%,,$34,375.00,$51,000.00,$35,750.00,$28,438.00,$20,928.00,11.50%,15.90%,15.20%,17.90%
Brule,93.55%,,1.08%,,,3.76%,1.61%,7.26%,,,,,,,,,
Bruning,100.00%,,,,,,,1.67%,,,,,,,,,
Bruno,99.11%,,,,,,0.89%,,,,,,,,,,
Brunswick,97.77%,0.56%,1.12%,,,,0.56%,0.56%,,,,,,,,,
Buda,,,,,,,,,,,,,,,,,
Buffalo County,95.18%,0.55%,0.33%,0.68%,0.03%,2.20%,1.03%,4.66%,$36,782.00,$46,247.00,$30,182.00,$21,977.00,$17,510.00,6.30%,11.20%,10.50%,8.50%
Burchard,,,,,,,,,,,,,,,,,
Burr,100.00%,,,,,,,,,,,,,,,,
Burt County,97.63%,0.18%,1.07%,0.19%,0.03%,0.22%,0.69%,1.26%,$33,954.00,$40,515.00,$28,750.00,$20,663.00,$16,654.00,6.60%,8.90%,11.80%,8.30%
Burton,100.00%,,,,,,,,,,,,,,,,
Burwell,98.32%,,0.27%,,,0.53%,0.88%,1.24%,,,,,,,,,
Bushnell,99.38%,,,,0.62%,,,6.79%,,,,,,,,,
Butler County,98.38%,0.10%,0.13%,0.13%,0.06%,0.81%,0.40%,1.65%,$36,331.00,$44,441.00,$28,856.00,$20,979.00,$16,394.00,4.80%,8.20%,9.80%,9.40%
Butte,98.91%,,0.82%,,,,0.27%,,,,,,,,,,
Byron,96.53%,,1.39%,,,,2.08%,0.69%,,,,,,,,,
Cairo,98.73%,,,,,0.63%,0.63%,2.28%,,,,,,,,,
Callaway,97.49%,,0.31%,0.31%,,0.78%,1.10%,1.41%,,,,,,,,,
Cambridge,98.75%,,0.29%,0.10%,,0.38%,0.48%,0.77%,,,,,,,,,
Campbell,98.19%,,0.26%,,,,1.55%,0.52%,,,,,,,,,
Carleton,100.00%,,,,,,,,,,,,,,,,
Carroll,96.22%,,1.68%,,,,2.10%,,,,,,,,,,
Cass County,97.89%,0.18%,0.30%,0.35%,0.02%,0.35%,0.92%,1.46%,$46,515.00,$52,196.00,$36,639.00,$24,612.00,$20,156.00,4.20%,5.20%,7.10%,4.50%
Cedar Bluffs,99.02%,0.16%,0.49%,,,,0.33%,0.16%,,,,,,,,,
Cedar County,99.07%,0.10%,0.20%,0.04%,0.01%,0.18%,0.40%,0.43%,$33,435.00,$39,422.00,$26,707.00,$18,370.00,$15,514.00,6.30%,9.10%,10.70%,9.70%
Cedar Creek,98.74%,,,,,0.25%,1.01%,,,,,,,,,,
Cedar Rapids,99.75%,,,,,0.25%,,0.98%,,,,,,,,,
Center,95.56%,,,,,4.44%,,8.89%,,,,,,,,,
Central City,98.20%,0.40%,0.10%,0.50%,0.03%,0.27%,0.50%,1.30%,,,,,,,,,
Ceresco,98.15%,,0.22%,,,1.41%,0.22%,1.52%,,,,,,,,,
Chadron,92.99%,0.66%,3.30%,0.32%,0.09%,1.14%,1.51%,2.72%,,,,,,,,,
Chalco,95.24%,0.82%,0.30%,1.08%,0.02%,0.90%,1.64%,2.81%,$60,357.00,$62,217.00,$40,403.00,$28,066.00,$21,370.00,2.00%,2.90%,4.10%,0.00%
Chambers,99.70%,,,,,0.30%,,0.60%,,,,,,,,,
Champion,,,,,,,,,,,,,,,,,
Chapman,97.65%,,1.17%,,,0.29%,0.88%,2.05%,,,,,,,,,
Chappell,97.56%,0.10%,0.41%,0.31%,,0.81%,0.81%,1.22%,,,,,,,,,
Chase County,97.81%,0.17%,0.10%,0.17%,0.02%,1.47%,0.25%,3.42%,$32,351.00,$39,225.00,$27,554.00,$17,602.00,$17,490.00,7.90%,9.60%,10.50%,9.00%
Cherry County,94.19%,0.07%,3.25%,0.42%,0.02%,0.33%,1.72%,0.93%,$29,268.00,$36,500.00,$23,705.00,$17,277.00,$15,943.00,9.60%,12.30%,13.40%,14.20%
Chester,98.30%,,1.02%,,,,0.68%,0.68%,,,,,,,,,
Cheyenne County,96.34%,0.14%,0.65%,0.40%,0.03%,1.46%,0.98%,4.46%,$33,438.00,$41,024.00,$30,000.00,$20,467.00,$17,437.00,8.20%,10.00%,11.80%,7.40%
Clarks,98.06%,,,,,0.83%,1.11%,2.22%,,,,,,,,,
Clarkson,99.12%,,,,,0.73%,0.15%,1.31%,,,,,,,,,
Clatonia,96.73%,,0.73%,1.09%,,,1.45%,0.36%,,,,,,,,,
Clay Center,96.17%,0.58%,0.23%,0.93%,,1.16%,0.93%,3.02%,,,,,,,,,
Clay County,97.57%,0.17%,0.31%,0.30%,,1.24%,0.41%,3.48%,$34,259.00,$39,541.00,$28,321.00,$19,870.00,$16,870.00,8.50%,10.40%,13.40%,6.60%
Clearwater,98.96%,,,0.26%,,,0.78%,0.26%,,,,,,,,,
Clinton,96.67%,,,,,,3.33%,,,,,,,,,,
Cody,94.63%,,0.67%,2.68%,,,2.01%,,$25,357.00,$31,250.00,$23,333.00,$13,750.00,$17,772.00,18.20%,25.30%,30.00%,20.00%
Coleridge,98.52%,,,,,0.18%,1.29%,0.37%,$28,365.00,$41,250.00,$25,903.00,$15,714.00,$15,656.00,6.00%,10.40%,13.10%,16.10%
Colfax County,81.73%,0.07%,0.19%,0.20%,0.14%,15.94%,1.73%,26.17%,$35,849.00,$40,936.00,$25,656.00,$20,485.00,$15,148.00,7.20%,10.80%,13.80%,7.90%
Colon,99.28%,,,,,,0.72%,7.25%,,,,,,,,,
Columbus,87.19%,1.45%,0.35%,0.48%,0.04%,3.49%,1.00%,12.65%,,,,,,,,,
Comstock,98.18%,,,,,,1.82%,4.55%,,,,,,,,,
Concord,98.75%,,,,,,1.25%,4.38%,,,,,,,,,
Cook,99.38%,,0.31%,,,,0.31%,1.24%,,,,,,,,,
Cordova,100.00%,,,,,,,,,,,,,,,,
Cornlea,100.00%,,,,,,,2.44%,,,,,,,,,
Cortland,98.77%,,,0.20%,,,1.02%,0.41%,,,,,,,,,
Cotesfield,98.48%,,,,,,1.52%,,,,,,,,,,
Cowles,100.00%,,,,,,,,,,,,,,,,
Cozad,93.39%,0.17%,0.43%,0.43%,,3.82%,1.75%,10.95%,,,,,,,,,
Crab Orchard,97.96%,,,2.04%,,,,,$17,500.00,$30,625.00,$30,417.00,$22,000.00,$11,627.00,0.00%,4.90%,0.00%,13.30%
Craig,99.59%,,0.41%,,,,,,$29,583.00,$31,023.00,$30,417.00,$14,464.00,$10,818.00,15.50%,23.40%,38.50%,0.00%
Crawford,93.68%,0.09%,3.43%,,,0.90%,1.90%,1.99%,,,,,,,,,
Creighton,98.11%,0.39%,1.10%,0.08%,,0.08%,0.24%,0.16%,,,,,,,,,
Creston,99.07%,0.47%,,,,,0.47%,2.33%,,,,,,,,,
Crete,86.48%,0.76%,0.73%,3.27%,0.03%,6.90%,1.82%,13.50%,,,,,,,,,
Crofton,97.75%,,0.40%,0.13%,,0.13%,1.59%,1.19%,,,,,,,,,
Crookston,95.92%,,,,,,4.08%,,,,,,,,,,
Culbertson,98.32%,0.17%,0.34%,,,,1.18%,2.02%,,,,,,,,,
Cuming County,95.88%,0.13%,0.28%,0.20%,0.03%,2.63%,0.85%,5.48%,$33,186.00,$38,369.00,$26,577.00,$19,246.00,$16,443.00,7.00%,9.00%,9.80%,7.80%
Cumminsville,,,,,,,,,,,,,,,,,
Curtis,96.88%,0.24%,0.24%,0.36%,,0.72%,1.56%,1.44%,,,,,,,,,
Cushing,100.00%,,,,,,,,,,,,,,,,
Custer County,98.63%,0.07%,0.41%,0.15%,,0.20%,0.55%,0.92%,$30,677.00,$37,063.00,$24,609.00,$19,732.00,$16,171.00,9.10%,12.40%,16.20%,9.10%
Dakota City,84.62%,0.77%,1.81%,1.92%,,9.28%,1.59%,20.21%,,,,,,,,,
Dakota County,78.84%,0.62%,1.86%,3.08%,0.06%,12.91%,2.62%,22.62%,$38,834.00,$43,702.00,$28,341.00,$22,035.00,$16,125.00,9.20%,11.40%,14.60%,8.60%
Dakota Junction,,,,,,,,,,,,,,,,,
Dalton,99.40%,,0.30%,,,,0.30%,,,,,,,,,,
Danbury,100.00%,,,,,,,0.79%,,,,,,,,,
Dannebrog,97.44%,0.57%,0.28%,,0.28%,0.28%,1.14%,2.27%,,,,,,,,,
Davenport,98.23%,,,,,0.29%,1.47%,1.18%,,,,,,,,,
Davey,98.04%,,,,,1.31%,0.65%,1.31%,,,,,,,,,
David City,98.58%,0.15%,0.15%,0.23%,0.12%,0.50%,0.27%,1.00%,,,,,,,,,
Dawes County,93.34%,0.81%,2.88%,0.31%,0.06%,1.03%,1.58%,2.43%,$29,476.00,$41,092.00,$29,162.00,$17,404.00,$16,353.00,9.80%,18.90%,14.40%,9.80%
Dawson,98.56%,,,,,0.48%,0.96%,1.91%,,,,,,,,,
Dawson County,82.32%,0.31%,0.67%,0.66%,0.01%,14.49%,1.53%,25.36%,$36,132.00,$42,224.00,$26,865.00,$20,569.00,$15,973.00,8.60%,10.80%,14.20%,9.20%
Daykin,100.00%,,,,,,,,,,,,,,,,
De Witt,98.60%,0.17%,,0.35%,,0.17%,0.70%,1.05%,,,,,,,,,
Decatur,87.70%,0.65%,7.93%,0.32%,,,3.40%,0.81%,,,,,,,,,
Denton,100.00%,,,,,,,1.06%,,,,,,,,,
Deshler,97.84%,,0.68%,0.23%,,0.34%,0.91%,1.71%,,,,,,,,,
Deuel County,97.33%,0.05%,0.38%,0.38%,,1.14%,0.71%,2.72%,$32,981.00,$41,550.00,$26,020.00,$19,479.00,$17,891.00,5.30%,9.10%,12.40%,6.10%
Deweese,98.75%,,,,,1.25%,,1.25%,,,,,,,,,
Dickens,,,,,,,,,,,,,,,,,
Diller,99.65%,,,,,0.35%,,1.74%,,,,,,,,,
Dix,97.00%,,,,,3.00%,,4.12%,,,,,,,,,
Dixon,93.52%,,,,,6.48%,,9.26%,,,,,,,,,
Dixon County,94.64%,0.03%,0.49%,0.27%,,3.79%,0.79%,5.49%,$34,201.00,$41,122.00,$27,784.00,$20,573.00,$15,350.00,7.50%,10.00%,12.40%,9.00%
Dodge,97.43%,,0.14%,0.14%,,2.00%,0.29%,2.29%,,,,,,,,,
Dodge County,95.90%,0.43%,0.30%,0.51%,0.09%,2.06%,0.72%,3.93%,$37,188.00,$44,790.00,$31,108.00,$20,915.00,$17,757.00,5.30%,8.60%,10.30%,7.10%
Doniphan,98.43%,,0.39%,,,0.26%,0.92%,2.36%,,,,,,,,,
Dorchester,97.24%,,,,,2.60%,0.16%,4.07%,,,,,,,,,
Douglas,97.84%,1.30%,,,,,0.87%,,,,,,,,,,
Douglas County,80.96%,11.50%,0.61%,1.71%,0.05%,3.40%,1.76%,6.67%,$43,209.00,$54,651.00,$36,577.00,$27,265.00,$22,879.00,6.70%,9.80%,13.00%,7.20%
Du Bois,98.19%,,,,,,1.81%,,,,,,,,,,
Dunbar,97.05%,,0.42%,,,,2.53%,0.42%,,,,,,,,,
Duncan,95.82%,,0.56%,0.28%,,1.67%,1.67%,2.23%,,,,,,,,,
Dundy County,96.95%,0.04%,0.79%,0.48%,0.04%,0.87%,0.83%,3.23%,$27,010.00,$35,862.00,$22,415.00,$18,583.00,$15,786.00,11.00%,13.60%,16.10%,15.00%
Dunning,99.08%,,0.92%,,,,,0.92%,,,,,,,,,
Dwight,99.23%,,0.39%,,,,0.39%,,,,,,,,,,
Eagle,98.37%,,0.45%,,,0.09%,1.09%,1.45%,$45,750.00,$48,947.00,$33,250.00,$22,788.00,$17,154.00,2.50%,2.90%,2.60%,2.90%
Eddyville,100.00%,,,,,,,,,,,,,,,,
Edgar,97.77%,0.56%,1.11%,0.19%,,0.37%,,0.74%,$29,191.00,$39,286.00,$27,417.00,$17,000.00,$18,447.00,4.90%,7.50%,8.40%,10.10%
Edison,100.00%,,,,,,,,,,,,,,,,
Elba,98.35%,,0.41%,,,1.23%,,0.82%,,,,,,,,,
Elgin,99.59%,,,,,,0.41%,,,,,,,,,,
Eli,,,,,,,,,,,,,,,,,
Elk Creek,95.54%,0.89%,1.79%,,,0.89%,0.89%,0.89%,,,,,,,,,
Ellis,,,,,,,,,,,,,,,,,
Ellsworth,96.87%,,,,,,3.13%,9.38%,,,,,,,,,
Elm Creek,97.54%,,0.11%,,,1.45%,0.89%,3.02%,,,,,,,,,
Elmwood,99.10%,0.15%,,0.30%,,,0.45%,0.30%,,,,,,,,,
Elsie,98.56%,,0.72%,,,,0.72%,,,,,,,,,,
Elwood,98.03%,,0.13%,,,0.92%,0.92%,2.76%,,,,,,,,,
Elyria,100.00%,,,,,,,,,,,,,,,,
Emerald,,,,,,,,,,,,,,,,,
Emerson,92.78%,,0.98%,0.73%,,5.14%,0.37%,5.51%,,,,,,,,,
Emmet,96.10%,1.30%,,,,2.60%,,,,,,,,,,,
Enders,,,,,,,,,,,,,,,,,
Endicott,100.00%,,,,,,,,,,,,,,,,
Ericson,100.00%,,,,,,,,,,,,,,,,
Eustis,98.92%,,0.22%,0.22%,,,0.65%,1.08%,,,,,,,,,
Ewing,100.00%,,,,,,,,,,,,,,,,
Exeter,98.17%,,0.28%,0.14%,,,1.40%,0.56%,,,,,,,,,
Fairbury,97.89%,0.14%,0.61%,0.19%,0.02%,0.63%,0.52%,1.85%,,,,,,,,,
Fairfield,98.29%,0.21%,0.21%,,,,1.28%,1.71%,$31,477.00,$37,000.00,$26,806.00,$19,063.00,$15,815.00,12.30%,15.30%,11.50%,12.10%
Fairmont,95.80%,0.14%,0.72%,0.14%,,1.45%,1.74%,3.04%,,,,,,,,,
Falls City,95.20%,0.13%,2.33%,0.21%,,0.26%,1.86%,0.88%,,,,,,,,,
Farnam,97.31%,,0.45%,,,,2.24%,0.45%,,,,,,,,,
Farwell,97.97%,0.68%,,,,0.68%,0.68%,2.03%,,,,,,,,,
Filley,100.00%,,,,,,,2.30%,,,,,,,,,
Fillmore County,97.75%,0.21%,0.44%,0.06%,0.02%,0.83%,0.69%,1.66%,$35,162.00,$41,725.00,$29,813.00,$18,507.00,$17,465.00,4.80%,7.80%,8.20%,10.00%
Firth,98.76%,0.18%,0.35%,0.18%,,0.18%,0.35%,0.18%,,,,,,,,,
Fontanelle,,,,,,,,,,,,,,,,,
Fordyce,100.00%,,,,,,,4.95%,,,,,,,,,
Fort Calhoun,98.48%,0.58%,0.12%,,,0.12%,0.70%,1.29%,,,,,,,,,
Foster,98.41%,,1.59%,,,,,,,,,,,,,,
Franklin,99.42%,,0.39%,0.10%,,,0.10%,0.97%,,,,,,,,,
Franklin County,99.24%,,0.28%,0.06%,,0.08%,0.34%,0.64%,$29,304.00,$34,958.00,$26,192.00,$18,214.00,$15,390.00,9.70%,13.20%,17.20%,9.40%
Fremont,95.28%,0.57%,0.31%,0.61%,0.11%,2.29%,0.82%,4.31%,$36,700.00,$45,259.00,$31,865.00,$21,035.00,$18,006.00,5.10%,8.80%,10.10%,7.20%
Friend,98.64%,,0.26%,,,0.34%,0.77%,0.85%,,,,,,,,,
Frontier County,98.29%,0.10%,0.26%,0.26%,,0.39%,0.71%,0.97%,$33,038.00,$38,664.00,$25,792.00,$16,941.00,$16,648.00,9.30%,12.20%,9.90%,8.30%
Fullerton,96.95%,,0.80%,0.07%,,1.09%,1.09%,2.47%,,,,,,,,,
Funk,98.04%,,,0.49%,,0.98%,0.49%,1.47%,,,,,,,,,
Furnas County,98.22%,0.08%,0.41%,0.23%,,0.32%,0.75%,1.15%,$30,498.00,$37,000.00,$26,563.00,$19,918.00,$17,223.00,6.90%,10.60%,14.50%,10.50%
Gage County,97.69%,0.32%,0.58%,0.28%,0.03%,0.26%,0.84%,0.85%,$34,908.00,$43,072.00,$29,680.00,$21,305.00,$17,190.00,6.60%,8.70%,9.70%,8.00%
Gandy,100.00%,,,,,,,,,,,,,,,,
Garden County,98.34%,0.13%,0.26%,0.26%,,0.52%,0.48%,1.44%,$26,458.00,$32,546.00,$21,495.00,$17,000.00,$15,414.00,10.80%,14.80%,22.00%,8.70%
Garfield County,98.79%,,0.21%,0.05%,0.05%,0.37%,0.53%,1.00%,$27,407.00,$34,762.00,$24,563.00,$16,146.00,$14,368.00,9.70%,12.60%,11.50%,18.60%
Garland,98.79%,,,,,0.81%,0.40%,1.62%,,,,,,,,,
Garrison,95.52%,,4.48%,,,,,,,,,,,,,,
Geneva,99.01%,0.04%,0.27%,,,0.45%,0.22%,0.81%,,,,,,,,,
Genoa,98.37%,,0.31%,0.10%,,0.31%,0.92%,0.71%,,,,,,,,,
Gering,91.48%,0.13%,1.14%,0.25%,0.04%,5.56%,1.41%,13.40%,,,,,,,,,
Gibbon,85.05%,0.17%,0.74%,0.17%,,12.51%,1.36%,20.98%,,,,,,,,,
Gilead,100.00%,,,,,,,,,,,,,,,,
Giltner,97.94%,0.51%,0.26%,,,0.77%,0.51%,1.03%,,,,,,,,,
Gladstone,,,,,,,,,,,,,,,,,
Glenvil,98.49%,,,1.51%,,,,,,,,,,,,,
Glenwood,,,,,,,,,,,,,,,,,
Goehner,99.46%,,,0.54%,,,,,,,,,,,,,
Gordon,82.35%,,15.43%,0.28%,0.06%,0.28%,1.59%,1.65%,,,,,,,,,
Gosper County,98.79%,,0.14%,0.23%,,0.42%,0.42%,1.26%,$36,827.00,$42,702.00,$28,836.00,$21,204.00,$17,957.00,4.80%,7.90%,11.10%,5.00%
Gothenburg,97.37%,0.44%,0.33%,0.17%,,1.22%,0.47%,3.62%,,,,,,,,,
Grafton,100.00%,,,,,,,,,,,,,,,,
Grainton,,,,,,,,,,,,,,,,,
Grand Island,86.72%,0.42%,0.33%,1.31%,0.17%,9.64%,1.42%,15.94%,$36,044.00,$43,197.00,$28,925.00,$20,521.00,$17,071.00,9.90%,12.80%,16.70%,8.10%
Grant,98.78%,,0.33%,0.16%,,0.24%,0.49%,1.22%,,,,,,,,,
Grant County,98.80%,,0.13%,0.27%,,0.80%,,1.34%,$34,821.00,$37,011.00,$26,319.00,$14,417.00,$14,815.00,8.20%,9.70%,16.70%,0.00%
Greeley County,97.94%,0.66%,0.07%,0.07%,,0.77%,0.48%,0.85%,$28,375.00,$34,159.00,$22,036.00,$17,056.00,$13,731.00,11.90%,14.60%,22.10%,10.50%
Greenwood,97.06%,0.37%,1.29%,0.55%,,,0.74%,1.10%,,,,,,,,,
Gresham,99.63%,,0.37%,,,,,,,,,,,,,,
Gretna,98.64%,0.04%,0.42%,0.42%,,0.17%,0.30%,1.15%,,,,,,,,,
Gross,100.00%,,,,,,,,,,,,,,,,
Guide Rock,98.78%,,,,,,1.22%,,,,,,,,,,
Gurley,96.49%,,1.32%,,,1.32%,0.88%,5.26%,,,,,,,,,
Hadar,96.79%,,,0.32%,,2.24%,0.64%,2.88%,,,,,,,,,
Haigler,93.84%,,0.95%,,,3.32%,1.90%,7.11%,,,,,,,,,
Hall County,88.67%,0.36%,0.31%,1.09%,0.14%,8.19%,1.24%,14.00%,$36,972.00,$43,963.00,$29,158.00,$20,576.00,$17,386.00,9.20%,12.00%,15.50%,8.30%
Hallam,92.39%,0.08%,2.54%,4.35%,,,0.72%,,,,,,,,,,
