State,Year,Office,County,D1#,D2#,R#,L#,Ref.#,NL#,I1#,I2#,I3#,G#,AI#,PF#,Prog#,IProg#,S#,Proh.#,ND#,SL#,Comm.#,NP#,Pop#,IL#,Liberty#,W/I1#,W/I2#,W/I3#,W/I4#,W/I5#,W/I6#,W/I7#,W/I8#,Candidate 1,C1 #,Candidate 2,C2 #,Candidate 3,C3 #,Candidate 4,C4 #,Candidate 5,C5 #,Arnold Schwarzenegger (R),Cruz M. Bustamante (D),Tom McClintock (R),Peter Miguel Camejo (G),Arianna Huffington (I),Peter V. Ueberroth (R),Larry Flynt (D),Gary Coleman (I),George B. Schwartzman (I),Mary Cook (I),Bruce Martin Margolin (D),Bill Simon (R),Van Vo (R),John Christopher Burton (I),David Laughing Horse Robinson (D),Leo Gallagher (I),Cheryl Bly-Chester (R),Lawrence Steven Strauss (D),Ronald Jason Palmieri (D),Calvin Y. Louie (D),Badi Badiozamani (I),Audie E. Bock (D),Ralph A. Hernandez (D),Edward Thomas Kennedy (D),Dan Feinstein (D),Bob McClain (I),James Henry Green (D),Garrett Gruener (D),Angelyne (I),Paul Mariano (D),Ivan Alexander Hall III (G),Jim Weir (D),Jerome Kunzman (I),Ned Fenton Roscoe (L),Georgina Russell (D),Jonathan D. Miller (D),Jack Loyd Grisham (I),Christopher Sproul (D),Daniel T. Watts (G),Ken Hamidi (L),Marc Valdez (D),Frank A. Macaluso,Jr. (D),Daniel C. Ramirez (D),Randall D. Sprague (R),Brooke Adams (I),Mohammad Arif (I),Nathan Whitecloud Walton (I),John J. 'Jack' Hickey (L),Mike Schmier (D),C.T. Weber (PF),Diana Foss (D),Michael J. Wozniak (D),B.E. Smith (I),Lingel H. Winters (D),Richard J. Simmons (I),Joe Guzzardi (D),Mike P. McCarthy (I),Art Brown (D),Leonard Padilla (I),Iris Adam (NL),Maurice J. Walker (G),Trek Thunder Kelly (I),Vikramjit S. Bajwa (D),David Ronald Sams (R),Darin Price (NL),Charles 'Chuck' Pineda Jr. (D),John 'Jack' Mortensen (D),Sara Ann Hanlon (I),Diane Beall Templin (AI),Dick Lane (D),Jim Hoffmann (R),William B. Vaughn (D),C. Stephen Henderson (I),Robert C. Newman II (R),Jamie Rosemary Safford (R),Robert C. Mannheim (D),Dorene Musilli (R),Scott A. Mednick (D),A. Lavar Taylor (D),Brian Tracy (I),Kurt E. Rightmyer (I),Christopher Ranken (D),Sharon Rushford (I),Darrin H. Scheidle (D),Patricia G. Tilley (I),Darryl L. Mobley (I),Alex-St. James (R),Bob Lynn Edwards (D),Douglas Anderson (R),Joel Britton (I),Michael Jackson (R),Ed Beyer (R),Paul 'Chip' Mailander (D),John W. Beard (R),Paul James Nave (D),Robert Cullenbine (D),Warren Farrell (D),Chuck Walker (R),William S. Chambers (R),Vip Bhola (R),Gerold Lee Gorman (D),Dennis Duggan McMahon (R),James M. Vandeventer,Jr. (R),Eric Korevaar (D),Kelly P. Kimball (D),Mike McNeilly (R),S. Issa (R),Gino Martorana (R),Richard Andrew Gosse (R),Tim Sylvester (D),Bill Prady (D),Bryan Quinn (R),Jeffrey L. Mock (R),Paul W. Vann (R),Michael Cheli (I),Heather Peters (R),Jeff Rainforth (I),Ronald J. Friedman (I),Todd Carson (R),Scott W. Davis (I),Daniel W. Richards (R),Carl A. Mehr (R),Lorraine Fontanes (D),Gary Leonard (D),Gregory J. Pawlik (R),Jon William Zellhoefer (R),Reva Renee Renz (R),Kevin Richter (R),Stephen L. Knapp (R),William James Tsangares (R),D. (Logan Darrow) Clements (R),Robert A. Dole (R),David E. Kessinger (D),Gene Forte (R),Todd Richard Lewis (I)
California,1892,President,Marin,949,,1186,,,,,,,,,,,,,59,,,,,19,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California,1892,President,Mariposa,526,,404,,,,,,,,,,,,,70,,,,,12,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California,1892,President,Mendocino,2023,,1709,,,,,,,,,,,,,158,,,,,192,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California,1892,President,Merced,995,,782,,,,,,,,,,,,,126,,,,,69,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California,1892,President,Modoc,596,,406,,,,,,,,,,,,,106,,,,,37,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California,1892,President,Mono,166,,286,,,,,,,,,,,,,77,,,,,7,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California,1892,President,Monterey,1606,,1709,,,,,,,,,,,,,686,,,,,102,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California,1892,President,Napa,1478,,1769,,,,,,,,,,,,,173,,,,,63,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California,1892,President,Nevada,1634,,1757,,,,,,,,,,,,,616,,,,,94,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California,1892,President,Orange,1000,,1152,,,,,,,,,,,,,480,,,,,267,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California,1892,President,Placer,1524,,1743,,,,,,,,,,,,,185,,,,,86,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California,1892,President,Plumas,537,,642,,,,,,,,,,,,,27,,,,,25,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California,1892,President,Sacramento,3498,,4362,,,,,,,,,,,,,889,,,,,168,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California,1892,President,San Benito,759,,616,,,,,,,,,,,,,256,,,,,35,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California,1892,President,San Bernardino,2546,,3686,,,,,,,,,,,,,721,,,,,614,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California,1892,President,San Diego,2334,,3525,,,,,,,,,,,,,1519,,,,,334,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California,1892,President,San Francisco,31022,,24416,,,,,,,,,,,,,2508,,,,,489,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California,1892,President,San Joaquin,3106,,2958,,,,,,,,,,,,,592,,,,,373,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California,1892,President,San Luis Obispo,1199,,1433,,,,,,,,,,,,,997,,,,,132,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California,1892,President,San Mateo,1020,,1088,,,,,,,,,,,,,32,,,,,12,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California,1892,President,Santa Barbara,1228,,1483,,,,,,,,,,,,,639,,,,,170,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California,1892,President,Santa Clara,4167,,4620,,,,,,,,,,,,,1091,,,,,509,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California,1892,President,Santa Cruz,1512,,1843,,,,,,,,,,,,,562,,,,,195,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California,1892,President,Shasta,1137,,1234,,,,,,,,,,,,,436,,,,,78,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California,1892,President,Sierra,529,,787,,,,,,,,,,,,,46,,,,,8,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California,1892,President,Siskiyou,1605,,1493,,,,,,,,,,,,,109,,,,,20,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California,1892,President,Solano,2174,,2403,,,,,,,,,,,,,213,,,,,93,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California,1892,President,Sonoma,3451,,3016,,,,,,,,,,,,,297,,,,,186,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California,1892,President,Stanislaus,1369,,992,,,,,,,,,,,,,58,,,,,131,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California,1892,President,Sutter,735,,745,,,,,,,,,,,,,45,,,,,51,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California,1892,President,Tehama,1045,,969,,,,,,,,,,,,,170,,,,,49,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California,1892,President,Trinity,457,,495,,,,,,,,,,,,,19,,,,,3,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California,1892,President,Tulare,2613,,1984,,,,,,,,,,,,,1410,,,,,201,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California,1892,President,Tuolumne,916,,739,,,,,,,,,,,,,113,,,,,54,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California,1892,President,Ventura,958,,1283,,,,,,,,,,,,,415,,,,,97,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
