State,Year,Office,County,D#,R#,S#,Silver#,Ind.#,Pop.#,Prog.#,Proh.#,AI#,Cit.#,None#,I#,Ref.#,NL#,G#,L#,NA#,W/I#,I1#,I2#,I3#,I4#,Tea#,IA#,Others,O#,Year / Office,D1#,D2#
Nevada,1928,President,Lyon,704,927,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1928,President,Mineral,326,275,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1928,President,Nye,1123,958,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1928,President,Ormsby,426,590,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1928,President,Pershing,452,543,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1928,President,Storey,271,185,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1928,President,Washoe,3952,5767,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1928,President,White Pine,1413,1992,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1932,President,Churchill,1518,674,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1932,President,Clark,5837,1347,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1932,President,Douglas,398,331,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1932,President,Elko,2562,1325,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1932,President,Esmeralda,426,147,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1932,President,Eureka,385,136,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1932,President,Humboldt,1126,405,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1932,President,Lander,536,272,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1932,President,Lincoln,1105,295,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1932,President,Lyon,983,456,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1932,President,Mineral,647,238,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1932,President,Nye,1296,506,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1932,President,Ormsby,579,486,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1932,President,Pershing,792,247,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1932,President,Storey,247,124,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1932,President,Washoe,8141,4333,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1932,President,White Pine,2178,1352,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1936,President,Churchill,1290,759,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1936,President,Clark,5091,1178,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1936,President,Douglas,466,346,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1936,President,Elko,2888,1065,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1936,President,Esmeralda,566,156,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1936,President,Eureka,396,180,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1936,President,Humboldt,1210,390,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1936,President,Lander,585,237,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1936,President,Lincoln,1639,254,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1936,President,Lyon,1203,487,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1936,President,Mineral,778,236,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1936,President,Nye,1495,464,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1936,President,Ormsby,745,533,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1936,President,Pershing,861,269,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1936,President,Storey,392,139,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1936,President,Washoe,9514,4358,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1936,President,White Pine,2806,872,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1940,President,Churchill,1267,1171,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1940,President,Clark,5154,2170,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1940,President,Douglas,330,592,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1940,President,Elko,3016,1783,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1940,President,Esmeralda,639,292,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1940,President,Eureka,353,284,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1940,President,Humboldt,1367,789,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1940,President,Lander,475,393,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1940,President,Lincoln,1601,461,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1940,President,Lyon,1067,963,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1940,President,Mineral,693,406,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1940,President,Nye,1206,729,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1940,President,Ormsby,785,748,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1940,President,Pershing,696,594,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1940,President,Storey,382,224,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1940,President,Washoe,9243,8062,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1940,President,White Pine,3671,1568,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1944,President,Churchill,1046,1130,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1944,President,Clark,7350,4543,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1944,President,Douglas,282,556,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1944,President,Elko,2280,1642,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1944,President,Esmeralda,223,150,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1944,President,Eureka,217,317,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1944,President,Humboldt,994,835,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1944,President,Lander,383,425,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1944,President,Lincoln,1295,524,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1944,President,Lyon,708,895,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1944,President,Mineral,1344,751,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1944,President,Nye,943,723,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1944,President,Ormsby,665,841,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1944,President,Pershing,524,538,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1944,President,Storey,173,163,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1944,President,Washoe,8384,9024,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1944,President,White Pine,2812,1554,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1948,President,Churchill,1055,1206,,,,,111,,,,,,,,,,,,,,,,,,,,,,
Nevada,1948,President,Clark,10787,6382,,,,,284,,,,,,,,,,,,,,,,,,,,,,
Nevada,1948,President,Douglas,298,719,,,,,15,,,,,,,,,,,,,,,,,,,,,,
Nevada,1948,President,Elko,2026,1683,,,,,62,,,,,,,,,,,,,,,,,,,,,,
Nevada,1948,President,Esmeralda,183,164,,,,,18,,,,,,,,,,,,,,,,,,,,,,
Nevada,1948,President,Eureka,278,312,,,,,13,,,,,,,,,,,,,,,,,,,,,,
Nevada,1948,President,Humboldt,886,901,,,,,44,,,,,,,,,,,,,,,,,,,,,,
Nevada,1948,President,Lander,298,397,,,,,9,,,,,,,,,,,,,,,,,,,,,,
Nevada,1948,President,Lincoln,1004,520,,,,,29,,,,,,,,,,,,,,,,,,,,,,
Nevada,1948,President,Lyon,629,967,,,,,37,,,,,,,,,,,,,,,,,,,,,,
Nevada,1948,President,Mineral,1194,706,,,,,28,,,,,,,,,,,,,,,,,,,,,,
Nevada,1948,President,Nye,595,722,,,,,73,,,,,,,,,,,,,,,,,,,,,,
Nevada,1948,President,Ormsby,681,1095,,,,,25,,,,,,,,,,,,,,,,,,,,,,
Nevada,1948,President,Pershing,541,677,,,,,44,,,,,,,,,,,,,,,,,,,,,,
Nevada,1948,President,Storey,184,187,,,,,17,,,,,,,,,,,,,,,,,,,,,,
Nevada,1948,President,Washoe,8365,11323,,,,,500,,,,,,,,,,,,,,,,,,,,,,
Nevada,1948,President,White Pine,2287,1396,,,,,160,,,,,,,,,,,,,,,,,,,,,,
Nevada,1952,President,Churchill,903,1948,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1952,President,Clark,11855,13333,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1952,President,Douglas,177,948,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1952,President,Elko,1755,3104,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1952,President,Esmeralda,139,174,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1952,President,Eureka,157,379,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1952,President,Humboldt,691,1398,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1952,President,Lander,237,501,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1952,President,Lincoln,941,903,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1952,President,Lyon,576,1453,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1952,President,Mineral,1369,1297,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1952,President,Nye,567,1037,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1952,President,Ormsby,579,1653,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1952,President,Pershing,522,919,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1952,President,Storey,149,206,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1952,President,Washoe,8888,19044,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1952,President,White Pine,2183,2205,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1956,President,Churchill,1069,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1956,President,Clark,19095,18584,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1956,President,Douglas,256,1063,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1956,President,Elko,1736,2981,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1956,President,Esmeralda,124,164,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1956,President,Eureka,183,330,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1956,President,Humboldt,840,1292,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1956,President,Lander,283,540,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1956,President,Lincoln,803,885,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1956,President,Lyon,781,1697,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1956,President,Mineral,1415,1433,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1956,President,Nye,749,946,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1956,President,Ormsby,822,1749,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1956,President,Pershing,562,895,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1956,President,Storey,150,226,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1956,President,Washoe,9525,18865,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1956,President,White Pine,2247,2386,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1960,President,Churchill,1309,1765,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1960,President,Clark,23949,18197,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1960,President,Douglas,587,1164,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1960,President,Elko,2495,2427,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1960,President,Esmeralda,215,156,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1960,President,Eureka,223,239,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1960,President,Humboldt,1173,1157,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1960,President,Lander,391,383,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1960,President,Lincoln,771,530,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1960,President,Lyon,1009,1494,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1960,President,Mineral,1606,930,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1960,President,Nye,993,763,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1960,President,Ormsby,1283,1946,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1960,President,Pershing,716,648,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1960,President,Storey,167,203,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1960,President,Washoe,15280,18833,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1960,President,White Pine,2713,1552,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1964,President,Churchill,1565,1607,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1964,President,Clark,40760,23921,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1964,President,Douglas,1010,1127,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1964,President,Elko,2785,1856,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1964,President,Esmeralda,187,131,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1964,President,Eureka,285,243,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1964,President,Humboldt,1421,1106,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1964,President,Lander,391,338,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1964,President,Lincoln,785,440,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1964,President,Lyon,1327,1397,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1964,President,Mineral,1440,927,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1964,President,Nye,1276,822,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1964,President,Ormsby,2129,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1964,President,Pershing,738,486,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1964,President,Storey,261,172,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1964,President,Washoe,20170,18350,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1964,President,White Pine,2809,1174,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1968,President,Churchill,1211,1954,,,,,,,575,,,,,,,,,,,,,,,,,,,,
Nevada,1968,President,Clark,33225,31522,,,,,,,10318,,,,,,,,,,,,,,,,,,,,
Nevada,1968,President,Douglas,670,1801,,,,,,,327,,,,,,,,,,,,,,,,,,,,
Nevada,1968,President,Elko,1686,2687,,,,,,,559,,,,,,,,,,,,,,,,,,,,
Nevada,1968,President,Esmeralda,118,138,,,,,,,97,,,,,,,,,,,,,,,,,,,,
Nevada,1968,President,Eureka,149,277,,,,,,,64,,,,,,,,,,,,,,,,,,,,
Nevada,1968,President,Humboldt,885,1287,,,,,,,353,,,,,,,,,,,,,,,,,,,,
Nevada,1968,President,Lander,301,461,,,,,,,147,,,,,,,,,,,,,,,,,,,,
Nevada,1968,President,Lincoln,414,555,,,,,,,144,,,,,,,,,,,,,,,,,,,,
Nevada,1968,President,Lyon,939,1616,,,,,,,444,,,,,,,,,,,,,,,,,,,,
Nevada,1968,President,Mineral,1242,927,,,,,,,700,,,,,,,,,,,,,,,,,,,,
Nevada,1968,President,Nye,728,843,,,,,,,500,,,,,,,,,,,,,,,,,,,,
Nevada,1968,President,Ormsby,1770,3169,,,,,,,662,,,,,,,,,,,,,,,,,,,,
Nevada,1968,President,Pershing,466,567,,,,,,,180,,,,,,,,,,,,,,,,,,,,
Nevada,1968,President,Storey,172,222,,,,,,,50,,,,,,,,,,,,,,,,,,,,
Nevada,1968,President,Washoe,14560,23492,,,,,,,4936,,,,,,,,,,,,,,,,,,,,
Nevada,1968,President,White Pine,2062,1670,,,,,,,376,,,,,,,,,,,,,,,,,,,,
Nevada,1972,President,Carson City,2120,5396,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1972,President,Churchill,1038,2970,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1972,President,Clark,36807,53101,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1972,President,Douglas,983,2898,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1972,President,Elko,1467,3886,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1972,President,Esmeralda,127,273,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1972,President,Eureka,139,371,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,1972,President,Humboldt,713,1659,,,,,,,,,,,,,,,,,,,,,,,,,,,
