NAME	BD_NAME	BD	DD_NAME	DD
Alan_Lowenthal	Albert Smith White	1803-10-24	Albert Rains	March 22	 1991
Alan_Mollohan	Albert Taylor Goodwyn	1842-12-17	Albert Richard Thomas	February 15	 1966
Alan_Nunnelee	Albert W. Cretella	1897-04-22	Albert Rust	April 4	 1870
Alan_Steelman	Albert W. Hawkes	1878-11-20	Albert S. Berry	January 6	 1908
Alan_Wheat	Albert W. Jefferis	1868-12-07	Albert S. Burleson	November 24	 1937
Alan_Wood_Jr.	Albert Watson (South Carolina)	1922-08-30	Albert S. White	September 4	 1864
Alanson_B._Houghton	Albert Wynn	1951-09-10	Albert S. Willis	January 6	 1897
Alanson_M._Kimball	Albio Sires	1951-01-26	Albert Smith (New York politician)	August 28	 1870
Alben_W._Barkley	Albion K. Parris	1788-01-19	Albert Smith White	September 4	 1864
Albert_B._Cummins	Albion Parris	1788-01-19	Albert Taylor Goodwyn	July 1	 1931
Albert_B._Fall	Alcee Hastings	1936-09-05	Albert W. Cretella	May 24	 1979
Albert_B._Rossdale	Alec G. Olson	1930-09-11	Albert W. Hawkes	May 9	 1971
Albert_Blakeney	Alex McMillan	1932-05-09	Albert W. Jefferis	September 14	 1942
Albert_Bustamante	Alex Mooney	1971-06-07	Albert W. Johnson	September 1	 1998
Albert_C._Greene	Alexander Barrow	1801-03-27	Albert Watson (South Carolina)	September 25	 1994
Albert_C._Thompson	Alexander Billmeyer	1841-01-07	Albion K. Parris	February 11	 1857
Albert_C._Vaughn	Alexander Boteler	1815-05-16	Albion Parris	February 11	 1857
Albert_C._Willford	Alexander Buckner	1785-03-08	Alcee Louis la Branche	August 17	 1861
Albert_Cole_Hopkins	Alexander C. Davidson	1826-12-26	Alexander Barrow	December 29	 1846
Albert_Constable	Alexander C. Hanson	1786-02-27	Alexander Billmeyer	May 24	 1924
Albert_D._Shaw	Alexander C. Mitchell	1860-10-11	Alexander Boteler	May 8	 1892
Albert_David_Baumhart_Jr.	Alexander Caldwell	1830-03-01	Alexander Boyd	April 8	 1857
Albert_Douglas	Alexander Campbell (Illinois politician)	1814-10-04	Alexander Buckner	June 6	 1833
Albert_E._Austin	Alexander Colwell White	1833-12-12	Alexander C. Davidson	November 6	 1897
Albert_E._Carter	Alexander Contee Hanson	1786-02-27	Alexander C. Hanson	April 23	 1819
Albert_Estopinal	Alexander D. Orr	1761-11-06	Alexander C. M. Pennington	January 25	 1867
Albert_F._Dawson	Alexander D. Sims	1803-06-12	Alexander C. Mitchell	July 7	 1911
Albert_F._Polk	Alexander Evans (American politician)	1818-09-13	Alexander Caldwell	May 19	 1917
Albert_G._Brown	Alexander G. Barry	1892-08-23	Alexander Campbell (Illinois politician)	August 8	 1898
Albert_G._Burr	Alexander G. Cattell	1816-02-12	Alexander Colwell White	June 11	 1906
Albert_G._Jenkins	Alexander Gilmore Cochran	1846-03-20	Alexander Contee Hanson	April 23	 1819
Albert_G._Porter	Alexander Graves	1844-08-25	Alexander D. Orr	June 21	 1835
Albert_G._Riddle	Alexander H. Buell	1801-07-14	Alexander D. Sims	November 22	 1848
Albert_G._Rutherford	Alexander H. Rice	1818-08-30	Alexander Davis	September 25	 1889
Albert_G._Simms	Alexander H. Stephens	1812-02-11	Alexander Duncan (politician)	March 23	 1853
Albert_G._Talbott	Alexander Hamilton Coffroth	1828-05-18	Alexander Evans (American politician)	December 5	 1888
Albert_Galiton_Watkins	Alexander Harper (Ohio politician)	1786-02-05	Alexander G. Barry	December 28	 1952
Albert_Gallatin	Alexander Hugh Holmes Stuart	1807-04-02	Alexander G. Cattell	April 8	 1894
Albert_Gallatin_Egbert	Alexander Irvin	1800-01-18	Alexander Gillon	October 6	 1794
Albert_Gallatin_Hawes	Alexander J. Resa	1887-08-04	Alexander Gilmore Cochran	May 1	 1928
Albert_Gallatin_Marchand	Alexander Kerr Craig	1828-02-21	Alexander Graves	December 23	 1916
Albert_Galliton_Harrison	Alexander Long	1816-12-24	Alexander H. Bailey	April 20	 1874
Albert_Gallup	Alexander McKim	1748-01-10	Alexander H. Buell	January 29	 1853
Albert_Gore_Jr.	Alexander Mebane	1744-11-26	Alexander H. Rice	July 22	 1895
Albert_Gore_Sr.	Alexander Monroe Dockery	1845-02-11	Alexander H. Stephens	March 4	 1883
Albert_H._Bosch	Alexander O. Anderson	1794-11-10	Alexander Hamilton Coffroth	September 2	 1906
Albert_H._Tracy	Alexander Pirnie	1903-04-16	Alexander Harper (Ohio politician)	December 1	 1860
Albert_Henry_Vestal	Alexander Porter	1785-06-24	Alexander Hugh Holmes Stuart	February 13	 1891
Albert_J._Beveridge	Alexander Ramsey	1815-09-08	Alexander Irvin	March 20	 1874
Albert_J._Campbell	Alexander Randall (Maryland)	1803-01-03	Alexander J. Resa	July 4	 1964
Albert_J._Engel	Alexander S. Clay	1853-09-25	Alexander Kerr Craig	July 29	 1892
Albert_J._Hopkins	Alexander S. Diven	1809-02-10	Alexander Long	November 28	 1886
Albert_J._Pearson	Alexander S. McDill	1822-03-18	Alexander Martin	November 2	 1807
Albert_Johnson_(congressman)	Alexander S. Wallace	1810-12-30	Alexander McKim	January 18	 1832
Albert_L._Reeves_Jr.	Alexander Stewart (American politician)	1829-09-13	Alexander Monroe Dockery	December 26	 1926
Albert_L._Smith_Jr.	Alexander W. Gregg	1855-01-31	Alexander Mouton	?
Albert_L._Vreeland	Alexander Wiley	1884-05-26	Alexander O. Anderson	May 23	 1869
Albert_M._Cole	Alexandria Ocasio-Cortez	1989-10-13	Alexander Pirnie	June 12	 1982
Albert_M._Todd	Alfonse M. D'Amato	1937-08-01	Alexander Porter	January 13	 1844
Albert_P._Forsythe	Alfred A. Burnham	1819-03-08	Alexander Ramsey	April 22	 1903
Albert_P._Morano	Alfred A. Taylor	1848-08-06	Alexander Randall (Maryland)	November 21	 1881
Albert_R._Anderson	Alfred B. Greenwood	1811-07-11	Alexander S. Clay	November 13	 1910
Albert_R._Howe	Alfred B. Kittredge	1861-03-28	Alexander S. Diven	June 11	 1896
Albert_Rains	Alfred Briggs Irion	1833-02-18	Alexander S. McDill	November 12	 1875
Albert_Richard_Thomas	Alfred Buckwalter Garner	1873-03-04	Alexander S. Wallace	June 27	 1893
Albert_Rust	Alfred C. Chapin	1848-03-08	Alexander Smyth	April 17	 1830
Albert_S._Berry	Alfred C. Harmer	1825-08-08	Alexander Stewart (American politician)	May 24	 1912
Albert_S._Burleson	Alfred Conkling	1789-10-12	Alexander W. Gregg	April 30	 1919
Albert_S._White	Alfred Cuthbert	1785-12-23	Alexander White (Virginia politician)	September 19	 1804
Albert_S._Willis	Alfred Dennis Sieminski	1911-08-23	Alexander Wiley	October 26	 1967
Albert_Sidney_Camp	Alfred E. Reames	1870-02-05	Alexander Wilson (Virginia politician)	?
Albert_Smith_(Maine_politician)	Alfred Eliab Buck	1832-02-07	Alfred A. Burnham	April 11	 1879
Albert_Smith_(New_York_politician)	Alfred Ely	1815-02-15	Alfred A. Taylor	November 25	 1931
Albert_Smith_White	Alfred G. Allen	1867-07-23	Alfred B. Greenwood	October 4	 1889
Albert_Taylor_Goodwyn	Alfred Gilmore	1812-06-09	Alfred B. Kittredge	May 4	 1911
Albert_W._Cretella	Alfred H. Colquitt	1824-04-20	Alfred Babcock	May 16	 1871
Albert_W._Hawkes	Alfred Iverson Sr.	1798-12-03	Alfred Briggs Irion	May 21	 1903
Albert_W._Jefferis	Alfred L. Bulwinkle	1883-04-21	Alfred Buckwalter Garner	July 30	 1930
Albert_W._Johnson	Alfred Lucking	1856-12-18	Alfred C. Chapin	October 2	 1936
Albert_Watson_(South_Carolina)	Alfred Metcalf Jackson	1860-07-14	Alfred C. Harmer	March 6	 1900
Albert_Wynn	Alfred Moore Scales	1827-11-26	Alfred Conkling	February 5	 1874
Albio_Sires	Alfred Morrison Lay	1836-05-20	Alfred Cuthbert	July 9	 1856
Albion_K._Parris	Alfred N. Phillips	1894-04-23	Alfred Dennis Sieminski	December 13	 1990
Albion_Parris	Alfred O. P. Nicholson	1808-08-31	Alfred E. Reames	March 4	 1943
Alcee_Hastings	Alfred P. Stone	1813-06-28	Alfred Eliab Buck	December 4	 1902
Alcee_Louis_la_Branche	Alfred W. Benson	1843-07-15	Alfred Ely	May 18	 1892
Alec_G._Olson	Alfred Wells	1841-05-27	Alfred F. Beiter	March 11	 1974
Alem_Marr	Algernon Paddock	1830-11-09	Alfred G. Allen	December 9	 1932
Alex_McMillan	Allan Benny	1867-07-12	Alfred Gilmore	June 29	 1890
Alex_Mooney	Allan C. Durborow Jr.	1857-11-10	Alfred H. Colquitt	March 26	 1894
Alexander_B._Montgomery	Allan Langdon McDermott	1854-03-30	Alfred H. Powell	?
Alexander_Barrow	Allan O. Hunter	1916-06-15	Alfred Iverson Sr.	March 4	 1873
Alexander_Billmeyer	Allan Turner Howe	1927-09-06	Alfred L. Bulwinkle	August 31	 1950
Alexander_Boteler	Allard H. Gasque	1873-03-08	Alfred Lucking	December 1	 1929
Alexander_Boyd	Allard K. Lowenstein	1929-01-16	Alfred Marshall (politician)	October 2	 1868
Alexander_Buckner	Allen Boyd	1945-06-06	Alfred Metcalf Jackson	June 11	 1924
Alexander_C._Davidson	Allen E. Ertel	1937-11-07	Alfred Moore Scales	February 9	 1892
Alexander_C._Hanson	Allen F. Moore	1869-09-30	Alfred Moore Waddell	March 17	 1912
Alexander_C._M._Pennington	Allen Foster Cooper	1862-06-16	Alfred Morrison Lay	December 8	 1879
Alexander_C._Mitchell	Allen G. Thurman	1813-11-13	Alfred N. Phillips	January 18	 1970
Alexander_Caldwell	Allen T. Caperton	1810-11-21	Alfred O. P. Nicholson	March 23	 1876
Alexander_Campbell	Allen T. Treadway	1867-09-16	Alfred P. Stone	August 2	 1865
Alexander_Campbell_(Illinois_politician)	Allen West (politician)	1961-02-07	Alfred Peck Edgerton	May 14	 1897
Alexander_Colwell_White	Allyson Schwartz	1948-10-03	Alfred W. Benson	January 1	 1916
Alexander_Contee_Hanson	Alma Adams	1946-05-27	Alfred Wells	July 18	 1867
Alexander_D._Orr	Almon Heath Read	1790-06-12	Algernon Paddock	October 17	 1897
Alexander_D._Sims	Alney McLean	1779-06-10	Alice Mary Robertson	July 1	 1931
Alexander_Davis	Alonzo Dillard Folger	1888-07-09	Allan B. Magruder	April 16	 1822
Alexander_Duncan_(politician)	Alonzo J. Edgerton	1827-06-07	Allan B. Walsh	August 5	 1953
Alexander_Evans_(American_politician)	Alonzo J. Ransier	1834-01-03	Allan Benny	November 6	 1942
Alexander_G._Barry	Alpheus Felch	1804-09-28	Allan C. Durborow Jr.	March 10	 1908
Alexander_G._Cattell	Alpheus S. Williams	1810-09-20	Allan Langdon McDermott	October 26	 1908
Alexander_G._Penn	Alphonso Hart	1830-07-04	Allan O. Hunter	May 2	 1995
Alexander_Gillon	Alphonzo E. Bell Jr.	1914-09-19	Allan Turner Howe	December 14	 2000
Alexander_Gilmore_Cochran	Alston G. Dayton	1857-10-18	Allard H. Gasque	June 17	 1938
Alexander_Graves	Alton Asa Lennon	1906-08-17	Allard K. Lowenstein	March 14	 1980
Alexander_H._Bailey	Alton Lennon	1906-08-17	Allen D. Candler	October 26	 1910
Alexander_H._Buell	Alton Waldon	1936-12-21	Allen E. Ertel	November 19	 2015
Alexander_H._Jones	Alva B. Adams	1875-10-29	Allen Ellender	July 27	 1972
Alexander_H._Rice	Alva M. Lumpkin	1886-11-13	Allen F. Moore	August 18	 1945
Alexander_H._Stephens	Alvah Sabin	1793-10-23	Allen Foster Cooper	April 20	 1917
Alexander_Hamilton_Coffroth	Alvan Cullom	1797-09-04	Allen G. Thurman	December 12	 1895
Alexander_Harper_(Ohio_politician)	Alvan T. Fuller	1878-02-27	Allen R. Bushnell	March 29	 1909
Alexander_Holladay	Alvin Baldus	1926-04-27	Allen T. Caperton	July 26	 1876
Alexander_Hugh_Holmes_Stuart	Alvin Bush	1893-06-04	Allen T. Treadway	February 16	 1947
Alexander_Irvin	Alvin Evans	1845-10-04	Almon Heath Read	June 3	 1844
Alexander_J._Resa	Alvin F. Weichel	1891-09-11	Alney McLean	December 30	 1841
Alexander_Kerr_Craig	Alvin Morell Bentley	1918-08-30	Alonzo Dillard Folger	April 30	 1941
Alexander_Long	Alvin O'Konski	1904-05-26	Alonzo J. Edgerton	August 9	 1896
Alexander_M._Hardy	Alvin Paul Kitchin	1908-09-13	Alonzo J. Ransier	August 17	 1882
Alexander_Martin	Alvin Saunders	1817-07-12	Alonzo Nute	December 24	 1892
Alexander_McDonald	Amasa Cobb	1823-09-27	Alpheus Felch	June 13	 1896
Alexander_McDowell	Amasa Dana	1792-10-19	Alpheus S. Williams	December 21	 1878
Alexander_McKim	Amasa J. Parker	1807-06-02	Alphonse Roy	October 5	 1967
Alexander_McMillan	Amasa Learned	1750-11-15	Alphonso Hart	December 23	 1910
Alexander_Mebane	Amasa Norcross	1824-01-26	Alphonzo E. Bell Jr.	April 25	 2004
Alexander_Monroe_Dockery	Ambrose E. B. Stephens	1862-06-03	Alston G. Dayton	July 30	 1920
Alexander_Mouton	Ambrose H. Sevier	1801-11-04	Alton Asa Lennon	December 28	 1986
Alexander_Newman	Ambrose Jerome Kennedy	1893-01-06	Alton Lennon	December 28	 1986
Alexander_O._Anderson	Ambrose Kennedy	1875-12-01	Alva B. Adams	December 1	 1941
Alexander_Ogle	Ambrose S. Murray	1807-11-27	Alva M. Lumpkin	August 1	 1941
Alexander_Pirnie	Ambrose Spencer	1765-12-13	Alvah A. Clark	December 27	 1912
Alexander_Porter	Ambrose W. Clark	1810-02-19	Alvah Crocker	December 26	 1874
Alexander_Ramsey	Ami Bera	1965-03-02	Alvah Sabin	January 22	 1885
Alexander_Randall_(Maryland)	Amo Houghton	1926-08-07	Alvan Cullom	July 20	 1877
Alexander_S._Clay	Amos E. Wood	1810-01-02	Alvan T. Fuller	April 30	 1958
Alexander_S._Diven	Amos H. Jackson	1846-05-10	Alvin Baldus	February 2	 2017
Alexander_S._McDill	Amos J. Cummings	1841-05-15	Alvin Bush	November 5	 1959
Alexander_S._Wallace	Amos L. Allen	1837-03-17	Alvin Evans	June 19	 1906
Alexander_Smyth	Amos Lane	1778-03-01	Alvin F. Weichel	November 27	 1956
Alexander_Stewart_(American_politician)	Amos P. Granger	1789-06-03	Alvin Morell Bentley	April 10	 1969
Alexander_Thomson_(congressman)	Amos R. Webber	1852-01-21	Alvin O'Konski	July 8	 1987
Alexander_W._Gregg	Amos Slaymaker	1755-03-11	Alvin Paul Kitchin	October 22	 1983
