Office,Name,Party,Birth Date,Date started
Senate,Roger Wicker,Republican,1951-07-05,2007-12-31
Senate,Cindy Hyde-Smith,Republican,1959-05-10,2018-04-09
Senate,Roy Blunt,Republican,1950-01-10,2011-01-03
Senate,Josh Hawley,Republican,1979-12-31,2019-01-03
Senate,Jon Tester,Democratic,1956-08-21,2007-01-03
Senate,Steve Daines,Republican,1962-08-20,2015-01-03
Senate,Deb Fischer,Republican,1951-03-01,2013-01-03
Senate,Ben Sasse,Republican,1972-02-22,2015-01-03
Senate,Catherine Cortez Masto,Democratic,1964-03-29,2017-01-03
Senate,Jacky Rosen,Democratic,1957-08-02,2019-01-03
Senate,Jeanne Shaheen,Democratic,1947-01-28,2009-01-03
Senate,Maggie Hassan,Democratic,1958-02-27,2017-01-03
Senate,Bob Menendez,Democratic,1954-01-01,2006-01-17
Senate,Cory Booker,Democratic,1969-04-27,2013-10-31
Senate,Ben Ray Lujan,Democratic,1972-06-07,2021-01-03
Senate,Martin Heinrich,Democratic,1971-10-17,2013-01-03
Senate,Chuck Schumer,Democratic,1950-11-23,1999-01-03
Senate,Kirsten Gillibrand,Democratic,1966-12-09,2009-01-26
Senate,Richard Burr,Republican,1955-11-30,2005-01-03
Senate,Thom Tillis,Republican,1960-08-30,2015-01-03
Senate,John Hoeven,Republican,1957-03-13,2011-01-03
Senate,Kevin Cramer,Republican,1961-01-21,2019-01-03
Senate,Sherrod Brown,Democratic,1952-11-09,2007-01-03
Senate,Rob Portman,Republican,1955-12-19,2011-01-03
Senate,Jim Inhofe,Republican,1934-11-17,1994-11-16
Senate,James Lankford,Republican,1968-03-04,2015-01-03
Senate,Ron Wyden,Democratic,1949-05-03,1996-02-05
Senate,Jeff Merkley,Democratic,1956-10-24,2009-01-03
Senate,Bob Casey Jr.,Democratic,1960-04-13,2007-01-03
Senate,Pat Toomey,Republican,1961-11-17,2011-01-03
Senate,Jack Reed,Democratic,1949-11-12,1997-01-03
Senate,Sheldon Whitehouse,Democratic,1955-10-20,2007-01-03
Senate,Lindsey Graham,Republican,1955-07-09,2003-01-03
Senate,Tim Scott,Republican,1965-09-19,2013-01-03
Senate,John Thune,Republican,1961-01-07,2005-01-03
Senate,Mike Rounds,Republican,1954-10-24,2015-01-03
Senate,Bill Hagerty,Republican,1959-08-14,2021-01-03
Senate,Marsha Blackburn,Republican,1952-06-06,2019-01-03
Senate,John Cornyn,Republican,1952-02-02,2002-12-02
Senate,Ted Cruz,Republican,1970-12-22,2013-01-03
Senate,Mike Lee,Republican,1971-06-04,2011-01-03
Senate,Mitt Romney,Republican,1947-03-12,2019-01-03
Senate,Patrick Leahy,Democratic,1940-03-31,1975-01-03
Senate,Bernie Sanders,Independent,1941-09-08,2007-01-03
Senate,Mark Warner,Democratic,1954-12-15,2009-01-03
Senate,Tim Kaine,Democratic,1958-02-26,2013-01-03
Senate,Patty Murray,Democratic,1950-10-11,1993-01-03
Senate,Maria Cantwell,Democratic,1958-10-13,2001-01-03
Senate,Joe Manchin,Democratic,1947-08-24,2010-11-15
Senate,Shelley Moore Capito,Republican,1953-11-26,2015-01-03
Senate,Ron Johnson,Republican,1955-04-08,2011-01-03
Senate,Tammy Baldwin,Democratic,1962-02-11,2013-01-03
Senate,Cynthia Lummis,Republican,1954-09-10,2021-01-03
Senate,John Barrasso,Republican,1952-07-21,2007-06-25
House,Jerry Carl,Republican,1958-06-17,2021-01-03
House,Barry Moore,Republican,1966-09-26,2021-01-03
House,Mike Rogers,Republican,1958-07-16,2003-01-03
House,Robert Aderholt,Republican,1965-07-22,1997-01-03
House,Mo Brooks,Republican,1954-04-29,2011-01-03
House,Gary Palmer,Republican,1954-05-14,2015-01-03
House,Terri Sewell,Democratic,1965-01-01,2011-01-03
House,Don Young,Republican,1933-06-09,1973-03-06
House,Tom O'Halleran,Democratic,1946-01-24,2017-01-03
House,Ann Kirkpatrick,Democratic,1950-03-24,2019-01-03
House,Raúl Grijalva,Democratic,1948-02-19,2003-01-03
House,Paul Gosar,Republican,1958-11-27,2011-01-03
House,Andy Biggs,Republican,1958-11-07,2017-01-03
House,David Schweikert,Republican,1962-03-03,2011-01-03
House,Ruben Gallego,Democratic,1979-11-20,2015-01-03
House,Debbie Lesko,Republican,1958-11-14,2018-05-07
House,Greg Stanton,Democratic,1970-03-08,2019-01-03
House,Rick Crawford,Republican,1966-01-22,2011-01-03
House,French Hill,Republican,1956-12-05,2015-01-03
House,Steve Womack,Republican,1957-02-18,2011-01-03
House,Bruce Westerman,Republican,1967-11-18,2015-01-03
House,Doug LaMalfa,Republican,1960-07-02,2013-01-03
House,Jared Huffman,Democratic,1964-02-18,2013-01-03
House,John Garamendi,Democratic,1945-01-24,2009-11-05
House,Tom McClintock,Republican,1956-07-10,2009-01-03
House,Mike Thompson,Democratic,1951-01-24,1999-01-03
House,Doris Matsui,Democratic,1944-09-25,2005-03-10
House,Ami Bera,Democratic,1965-03-02,2013-01-03
House,Jay Obernolte,Republican,1970-08-18,2021-01-03
House,Jerry McNerney,Democratic,1951-06-18,2007-01-03
House,Josh Harder,Democratic,1986-08-01,2019-01-03
House,Mark DeSaulnier,Democratic,1952-03-31,2015-01-03
House,Nancy Pelosi,Democratic,1940-03-26,1987-06-02
House,Barbara Lee,Democratic,1946-07-16,1998-04-21
House,Jackie Speier,Democratic,1950-05-14,2008-04-08
House,Eric Swalwell,Democratic,1980-11-16,2013-01-03
House,Jim Costa,Democratic,1952-04-13,2005-01-03
House,Ro Khanna,Democratic,1976-09-13,2017-01-03
House,Anna Eshoo,Democratic,1942-12-13,1993-01-03
House,Zoe Lofgren,Democratic,1947-12-21,1995-01-03
House,Jimmy Panetta,Democratic,1969-10-01,2017-01-03
House,Dave Valadao,Republican,1977-04-14,2021-01-03
House,Devin Nunes,Republican,1973-10-01,2003-01-03
House,Kevin McCarthy,Republican,1965-01-26,2007-01-03
House,Salud Carbajal,Democratic,1964-11-18,2017-01-03
House,Mike Garcia,Republican,1976-04-24,2020-05-19
House,Julia Brownley,Democratic,1952-08-28,2013-01-03
House,Judy Chu,Democratic,1953-07-07,2009-07-14
House,Adam Schiff,Democratic,1960-06-22,2001-01-03
House,Tony Cárdenas,Democratic,1963-03-31,2013-01-03
House,Brad Sherman,Democratic,1954-10-24,1997-01-03
House,Pete Aguilar,Democratic,1979-06-19,2015-01-03
House,Grace Napolitano,Democratic,1936-12-04,1999-01-03
House,Ted Lieu,Democratic,1969-03-29,2015-01-03
House,Jimmy Gomez,Democratic,1974-11-25,2017-07-11
House,Norma Torres,Democratic,1965-04-04,2015-01-03
House,Raul Ruiz,Democratic,1972-08-25,2013-01-03
House,Karen Bass,Democratic,1953-10-03,2011-01-03
House,Linda Sánchez,Democratic,1969-01-28,2003-01-03
House,Young Kim,Republican,1962-10-18,2021-01-03
House,Lucille Roybal-Allard,Democratic,1941-06-12,1993-01-03
House,Mark Takano,Democratic,1960-12-10,2013-01-03
House,Ken Calvert,Republican,1953-06-08,1993-01-03
House,Maxine Waters,Democratic,1938-08-15,1991-01-03
House,Nanette Barragán,Democratic,1976-09-15,2017-01-03
House,Katie Porter,Democratic,1974-01-03,2019-01-03
House,Lou Correa,Democratic,1958-01-24,2017-01-03
House,Alan Lowenthal,Democratic,1941-03-08,2013-01-03
House,Michelle Steel,Republican,1955-06-21,2021-01-03
House,Mike Levin,Democratic,1978-10-20,2019-01-03
House,Darrell Issa,Republican,1953-11-01,2021-01-03
House,Juan Vargas,Democratic,1961-03-07,2013-01-03
House,Scott Peters,Democratic,1958-06-17,2013-01-03
House,Sara Jacobs,Democratic,1989-02-01,2021-01-03
House,Diana DeGette,Democratic,1957-07-29,1997-01-03
House,Joe Neguse,Democratic,1984-05-13,2019-01-03
House,Lauren Boebert,Republican,1986-12-15,2021-01-03
House,Ken Buck,Republican,1959-02-16,2015-01-03
House,Doug Lamborn,Republican,1954-05-24,2007-01-03
House,Jason Crow,Democratic,1979-03-15,2019-01-03
House,Ed Perlmutter,Democratic,1953-05-01,2007-01-03
House,John B. Larson,Democratic,1948-07-22,1999-01-03
House,Joe Courtney,Democratic,1953-04-06,2007-01-03
House,Rosa DeLauro,Democratic,1943-03-02,1991-01-03
House,Jim Himes,Democratic,1966-07-05,2009-01-03
House,Jahana Hayes,Democratic,1973-03-08,2019-01-03
House,Lisa Blunt Rochester,Democratic,1962-02-10,2017-01-03
House,Matt Gaetz,Republican,1982-05-07,2017-01-03
House,Neal Dunn,Republican,1953-02-16,2017-01-03
House,Kat Cammack,Republican,1988-02-16,2021-01-03
House,John Rutherford,Republican,1952-09-02,2017-01-03
House,Al Lawson,Democratic,1948-09-23,2017-01-03
House,Michael Waltz,Republican,1974-01-31,2019-01-03
House,Stephanie Murphy,Democratic,1978-09-16,2017-01-03
House,Bill Posey,Republican,1947-12-18,2009-01-03
House,Darren Soto,Democratic,1978-02-25,2017-01-03
House,Val Demings,Democratic,1957-03-12,2017-01-03
House,Daniel Webster,Republican,1949-04-27,2011-01-03
House,Gus Bilirakis,Republican,1963-02-08,2007-01-03
House,Charlie Crist,Democratic,1956-07-24,2017-01-03
House,Kathy Castor,Democratic,1966-04-20,2007-01-03
House,Scott Franklin,Republican,1966-01-01,2021-01-03
House,Vern Buchanan,Republican,1951-05-08,2007-01-03
House,Greg Steube,Republican,1978-05-19,2019-01-03
House,Brian Mast,Republican,1980-07-10,2017-01-03
House,Byron Donalds,Republican,1978-10-28,2021-01-03
House,Alcee Hastings,Democratic,1936-09-05,1993-01-03
House,Lois Frankel,Democratic,1948-05-16,2013-01-03
House,Ted Deutch,Democratic,1966-05-07,2010-04-13
House,Debbie Wasserman Schultz,Democratic,1966-09-27,2005-01-03
House,Frederica Wilson,Democratic,1942-11-05,2011-01-03
House,Mario Díaz-Balart,Republican,1961-09-25,2003-01-03
House,Carlos Gimenez,Republican,1954-01-17,2021-01-03
House,Maria Elvira Salazar,Republican,1961-11-01,2021-01-03
House,Buddy Carter,Republican,1957-09-06,2015-01-03
House,Sanford Bishop,Democratic,1947-02-04,1993-01-03
House,Drew Ferguson,Republican,1966-11-15,2017-01-03
House,Hank Johnson,Democratic,1954-10-02,2007-01-03
House,Nikema Williams,Democratic,1978-07-30,2021-01-03
House,Lucy McBath,Democratic,1960-06-01,2019-01-03
House,Carolyn Bourdeaux,Democratic,1970-01-03,2021-01-03
House,Austin Scott,Republican,1969-12-10,2011-01-03
House,Andrew Clyde,Republican,1964-01-01,2021-01-03
House,Jody Hice,Republican,1960-04-22,2015-01-03
House,Barry Loudermilk,Republican,1963-12-22,2015-01-03
House,Rick W. Allen,Republican,1951-11-07,2015-01-03
House,David Scott,Democratic,1945-06-27,2003-01-03
House,Marjorie Taylor Greene,Republican,1974-05-27,2021-01-03
House,Ed Case,Democratic,1952-09-27,2019-01-03
House,Kai Kahele,Democratic,1974-03-28,2021-01-03
House,Russ Fulcher,Republican,1962-03-09,2019-01-03
House,Mike Simpson,Republican,1950-09-08,1999-01-03
House,Bobby Rush,Democratic,1946-11-23,1993-01-03
House,Robin Kelly,Democratic,1956-04-30,2013-04-11
House,Marie Newman,Democratic,1964-04-13,2021-01-03
House,"Jesús ""Chuy"" García",Democratic,1956-04-12,2019-01-03
House,Mike Quigley,Democratic,1958-10-17,2009-04-07
House,Sean Casten,Democratic,1971-11-23,2019-01-03
House,Danny K. Davis,Democratic,1941-09-06,1997-01-03
House,Raja Krishnamoorthi,Democratic,1973-07-19,2017-01-03
House,Jan Schakowsky,Democratic,1944-05-26,1999-01-03
House,Brad Schneider,Democratic,1961-08-20,2017-01-03
House,Bill Foster,Democratic,1955-10-07,2013-01-03
House,Mike Bost,Republican,1960-12-30,2015-01-03
House,Mary Miller,Republican,1959-08-27,2021-01-03
House,Lauren Underwood,Democratic,1986-10-04,2019-01-03
House,John Shimkus,Republican,1958-02-21,1997-01-03
House,Adam Kinzinger,Republican,1978-02-27,2011-01-03
House,Cheri Bustos,Democratic,1961-10-17,2013-01-03
House,Darin LaHood,Republican,1968-07-05,2015-09-10
House,Frank J. Mrvan,Republican,1969-04-16,2021-01-03
House,Jackie Walorski,Republican,1963-08-17,2013-01-03
House,Jim Banks,Republican,1979-07-16,2017-01-03
House,Jim Baird,Republican,1945-06-04,2019-01-03
House,Victoria Spartz,Republican,1978-10-06,2021-01-03
House,Greg Pence,Republican,1956-11-14,2019-01-03
House,André Carson,Democratic,1974-10-16,2008-03-11
House,Larry Bucshon,Republican,1962-05-31,2011-01-03
House,Trey Hollingsworth,Republican,1983-09-12,2017-01-03
House,Ashley Hinson,Republican,1983-06-27,2021-01-03
House,Dave Loebsack,Democratic,1952-12-23,2007-01-03
House,Cindy Axne,Democratic,1965-04-20,2019-01-03
House,Randy Feenstra,Republican,1969-01-14,2021-01-03
House,Tracey Mann,Republican,1977-01-01,2021-01-03
House,Jake LaTurner,Republican,1988-02-17,2021-01-03
House,Sharice Davids,Democratic,1980-05-22,2019-01-03
House,Ron Estes,Republican,1956-07-19,2017-04-25
House,James Comer,Republican,1972-08-19,2016-11-08
House,Brett Guthrie,Republican,1964-02-18,2009-01-03
House,John Yarmuth,Democratic,1947-11-04,2007-01-03
House,Thomas Massie,Republican,1971-01-13,2012-11-13
House,Hal Rogers,Republican,1937-12-31,1981-01-03
House,Andy Barr,Republican,1973-07-24,2013-01-03
House,Steve Scalise,Republican,1965-10-06,2008-05-03
House,Cedric Richmond,Democratic,1973-09-13,2011-01-03
House,Clay Higgins,Republican,1961-08-24,2017-01-03
House,Mike Johnson,Republican,1972-01-30,2017-01-03
House,Ralph Abraham,Republican,1954-09-16,2015-01-03
House,Garret Graves,Republican,1972-01-31,2015-01-03
House,Chellie Pingree,Democratic,1955-04-02,2009-01-03
House,Jared Golden,Democratic,1982-07-25,2019-01-03
House,Andy Harris,Republican,1957-01-25,2011-01-03
House,Dutch Ruppersberger,Democratic,1946-01-31,2003-01-03
House,John Sarbanes,Democratic,1962-05-22,2007-01-03
House,Anthony G. Brown,Democratic,1961-11-21,2017-01-03
House,Steny Hoyer,Democratic,1939-06-14,1981-05-19
House,David Trone,Democratic,1955-09-21,2019-01-03
House,Kweisi Mfume,Democratic,1948-10-24,2020-05-05
House,Jamie Raskin,Democratic,1962-12-13,2017-01-03
House,Richard Neal,Democratic,1949-02-14,1989-01-03
House,Jim McGovern,Democratic,1959-11-20,1997-01-03
House,Lori Trahan,Democratic,1973-10-27,2019-01-03
House,Jake Auchincloss,Democratic,1988-01-29,2021-01-03
House,Katherine Clark,Democratic,1963-07-17,2013-12-12
House,Seth Moulton,Democratic,1978-10-24,2015-01-03
House,Ayanna Pressley,Democratic,1974-02-03,2019-01-03
House,Stephen F. Lynch,Democratic,1955-03-31,2001-10-16
House,Bill Keating,Democratic,1952-09-06,2011-01-03
House,Jack Bergman,Republican,1947-02-02,2017-01-03
House,Bill Huizenga,Republican,1969-01-31,2011-01-03
House,Peter Meijer,Republican,1988-01-10,2021-01-03
House,John Moolenaar,Republican,1961-05-08,2015-01-03
House,Dan Kildee,Democratic,1958-08-11,2013-01-03
House,Fred Upton,Republican,1953-04-23,1987-01-03
House,Tim Walberg,Republican,1951-04-12,2011-01-03
House,Elissa Slotkin,Democratic,1976-07-10,2019-01-03
House,Andy Levin,Democratic,1960-08-10,2019-01-03
House,Lisa McClain,Republican,1963-01-01,2021-01-03
House,Haley Stevens,Democratic,1983-06-24,2019-01-03
House,Debbie Dingell,Democratic,1953-11-23,2015-01-03
House,Rashida Tlaib,Democratic,1976-07-24,2019-01-03
House,Brenda Lawrence,Democratic,1954-10-18,2015-01-03
House,Jim Hagedorn,Republican,1962-08-04,2019-01-03
House,Angie Craig,Democratic,1972-02-14,2019-01-03
House,Dean Phillips,Democratic,1969-01-20,2019-01-03
House,Betty McCollum,Democratic,1954-07-12,2001-01-03
House,Ilhan Omar,Democratic,1982-10-04,2019-01-03
House,Tom Emmer,Republican,1961-03-03,2015-01-03
House,Michelle Fischbach,Republican,1965-11-03,2021-01-03
House,Pete Stauber,Republican,1966-05-10,2019-01-03
House,Trent Kelly,Republican,1966-03-01,2015-06-02
House,Bennie Thompson,Democratic,1948-01-28,1993-04-13
House,Michael Guest,Republican,1970-02-04,2019-01-03
House,Steven Palazzo,Republican,1970-02-21,2011-01-03
House,Cori Bush,Democratic,1976-07-21,2021-01-03
House,Ann Wagner,Republican,1962-09-13,2013-01-03
House,Blaine Luetkemeyer,Republican,1952-05-07,2009-01-03
House,Vicky Hartzler,Republican,1960-10-13,2011-01-03
House,Emanuel Cleaver,Democratic,1944-10-26,2005-01-03
House,Sam Graves,Republican,1963-11-07,2001-01-03
House,Billy Long,Republican,1955-08-11,2011-01-03
House,Jason Smith,Republican,1980-06-16,2013-06-04
House,Matt Rosendale,Republican,1960-07-07,2021-01-03
House,Jeff Fortenberry,Republican,1960-12-27,2005-01-03
House,Don Bacon,Republican,1963-08-16,2017-01-03
House,Adrian Smith,Republican,1970-12-19,2007-01-03
House,Dina Titus,Democratic,1950-05-23,2013-01-03
House,Mark Amodei,Republican,1958-06-12,2011-09-13
House,Susie Lee,Democratic,1966-11-07,2019-01-03
House,Steven Horsford,Democratic,1973-04-29,2019-01-03
House,Chris Pappas,Democratic,1980-06-04,2019-01-03
House,Ann McLane Kuster,Democratic,1956-09-05,2013-01-03
House,Donald Norcross,Democratic,1958-12-13,2014-11-12
House,Jeff Van Drew,Republican,1953-02-23,2019-01-03
House,Andy Kim,Democratic,1982-07-12,2019-01-03
House,Chris Smith,Republican,1953-03-04,1981-01-03
House,Josh Gottheimer,Democratic,1975-03-08,2017-01-03
House,Frank Pallone,Democratic,1951-10-30,1988-11-08
House,Tom Malinowski,Democratic,1965-10-23,2019-01-03
House,Albio Sires,Democratic,1951-01-26,2006-11-13
House,Bill Pascrell,Democratic,1937-01-25,1997-01-03
House,Donald Payne Jr.,Democratic,1958-12-17,2012-11-15
House,Mikie Sherrill,Democratic,1972-01-19,2019-01-03
House,Bonnie Watson Coleman,Democratic,1945-02-06,2015-01-03
House,Deb Haaland,Democratic,1960-12-02,2019-01-03
House,Yvette Herrell,Republican,1964-03-16,2021-01-03
House,Teresa Leger Fernandez,Democratic,1960-01-01,2021-01-03
House,Lee Zeldin,Republican,1980-01-30,2015-01-03
House,Andrew Garbarino,Republican,1984-01-01,2021-01-03
House,Thomas Suozzi,Democratic,1962-08-31,2017-01-03
House,Kathleen Rice,Democratic,1965-02-15,2015-01-03
House,Gregory Meeks,Democratic,1953-09-25,1998-02-03
House,Grace Meng,Democratic,1975-10-01,2013-01-03
House,Nydia Velázquez,Democratic,1953-03-28,1993-01-03
House,Hakeem Jeffries,Democratic,1970-08-04,2013-01-03
House,Yvette Clarke,Democratic,1964-11-21,2007-01-03
House,Jerry Nadler,Democratic,1947-06-13,1992-11-03
House,Nicole Malliotakis,Republican,1980-11-11,2021-01-03
House,Carolyn Maloney,Democratic,1946-02-19,1993-01-03
House,Adriano Espaillat,Democratic,1954-09-27,2017-01-03
House,Alexandria Ocasio-Cortez,Democratic,1989-10-13,2019-01-03
House,Ritchie Torres,Democratic,1988-03-12,2021-01-03
House,Jamaal Bowman,Democratic,1976-04-01,2021-01-03
House,Mondaire Jones,Democratic,1987-05-18,2021-01-03
House,Sean Patrick Maloney,Democratic,1966-07-30,2013-01-03
House,Antonio Delgado,Democratic,1977-01-28,2019-01-03
House,Paul Tonko,Democratic,1949-06-18,2009-01-03
House,Elise Stefanik,Republican,1984-07-02,2015-01-03
House,Anthony Brindisi,Democratic,1978-11-22,2019-01-03
House,Tom Reed,Republican,1971-11-18,2010-11-18
House,John Katko,Republican,1962-11-09,2015-01-03
House,Joseph Morelle,Democratic,1957-04-29,2018-11-13
House,Brian Higgins,Democratic,1959-10-06,2005-01-03
House,Chris Jacobs,Republican,1966-11-28,2020-07-21
House,G. K. Butterfield,Democratic,1947-04-27,2004-07-20
House,Deborah Ross,Democratic,1963-06-20,2021-01-03
House,Greg Murphy,Republican,1963-03-05,2019-09-17
House,David Price,Democratic,1940-08-17,1997-01-03
House,Virginia Foxx,Republican,1943-06-29,2005-01-03
House,Kathy Manning,Democratic,1956-12-03,2021-01-03
House,David Rouzer,Republican,1972-02-16,2015-01-03
House,Richard Hudson,Republican,1971-11-04,2013-01-03
House,Dan Bishop,Republican,1964-07-01,2019-09-17
House,Patrick McHenry,Republican,1975-10-22,2005-01-03
House,Madison Cawthorn,Republican,1995-08-01,2021-01-03
House,Alma Adams,Democratic,1946-05-27,2014-11-04
House,Ted Budd,Republican,1971-10-21,2017-01-03
House,Kelly Armstrong,Republican,1976-10-08,2019-01-03
House,Steve Chabot,Republican,1953-01-22,2011-01-03
House,Brad Wenstrup,Republican,1958-06-17,2013-01-03
House,Joyce Beatty,Democratic,1950-03-12,2013-01-03
House,Jim Jordan,Republican,1964-02-17,2007-01-03
House,Bob Latta,Republican,1956-04-18,2007-01-03
House,Bill Johnson,Republican,1954-11-10,2011-01-03
House,Bob Gibbs,Republican,1954-06-14,2011-01-03
House,Warren Davidson,Republican,1970-03-01,2016-06-07
House,Marcy Kaptur,Democratic,1946-06-17,1983-01-03
House,Mike Turner,Republican,1960-01-11,2003-01-03
House,Marcia Fudge,Democratic,1952-10-29,2008-11-18
House,Troy Balderson,Republican,1962-01-16,2018-09-05
House,Tim Ryan,Democratic,1973-07-16,2003-01-03
House,David Joyce,Republican,1957-03-17,2013-01-03
House,Steve Stivers,Republican,1965-03-24,2011-01-03
House,Anthony Gonzalez,Republican,1984-09-18,2019-01-03
House,Kevin Hern,Republican,1961-12-04,2018-11-13
House,Markwayne Mullin,Republican,1977-07-26,2013-01-03
House,Frank Lucas,Republican,1960-01-06,1994-05-10
House,Tom Cole,Republican,1949-04-28,2003-01-03
House,Stephanie Bice,Republican,1973-11-11,2021-01-03
House,Suzanne Bonamici,Democratic,1954-10-14,2012-01-31
House,Cliff Bentz,Republican,1952-01-12,2021-01-03
House,Earl Blumenauer,Democratic,1948-08-16,1996-05-21
House,Peter DeFazio,Democratic,1947-05-27,1987-01-03
House,Kurt Schrader,Democratic,1951-10-19,2009-01-03
House,Brian Fitzpatrick,Republican,1973-12-17,2017-01-03
House,Brendan Boyle,Democratic,1977-02-06,2015-01-03
House,Dwight Evans,Democratic,1954-05-16,2016-11-14
House,Madeleine Dean,Democratic,1959-06-06,2019-01-03
House,Mary Gay Scanlon,Democratic,1959-08-30,2018-11-13
House,Chrissy Houlahan,Democratic,1967-06-05,2019-01-03
House,Susan Wild,Democratic,1957-06-07,2018-11-27
House,Matt Cartwright,Democratic,1961-05-01,2013-01-03
House,Dan Meuser,Republican,1964-02-10,2019-01-03
House,Scott Perry,Republican,1962-05-27,2013-01-03
House,Lloyd Smucker,Republican,1964-01-23,2017-01-03
House,Fred Keller,Republican,1965-10-23,2019-05-21
House,John Joyce,Republican,1957-02-08,2019-01-03
House,Guy Reschenthaler,Republican,1983-04-17,2019-01-03
House,Glenn Thompson,Republican,1959-07-27,2009-01-03
House,Mike Kelly,Republican,1948-05-10,2011-01-03
House,Conor Lamb,Democratic,1984-06-27,2018-04-12
House,Mike Doyle,Democratic,1953-08-05,1995-01-03
House,David Cicilline,Democratic,1961-07-15,2011-01-03
House,James Langevin,Democratic,1964-04-22,2001-01-03
House,Nancy Mace,Republican,1977-12-04,2021-01-03
House,Joe Wilson,Republican,1947-07-31,2001-12-18
House,Jeff Duncan,Republican,1966-01-07,2011-01-03
House,William Timmons,Republican,1984-04-30,2019-01-03
House,Ralph Norman,Republican,1953-06-20,2017-06-20
House,Jim Clyburn,Democratic,1940-07-21,1993-01-03
House,Tom Rice,Republican,1957-08-04,2013-01-03
House,Dusty Johnson,Republican,1976-09-30,2019-01-03
House,Diana Harshbarger,Republican,1960-01-01,2021-01-03
House,Tim Burchett,Republican,1964-08-25,2019-01-03
House,Chuck Fleischmann,Republican,1962-10-11,2011-01-03
House,Scott DesJarlais,Republican,1964-02-21,2011-01-03
House,Jim Cooper,Democratic,1954-06-19,2003-01-03
House,John Rose,Republican,1965-02-23,2019-01-03
House,Mark E. Green,Republican,1964-11-08,2019-01-03
House,David Kustoff,Republican,1966-10-08,2017-01-03
House,Steve Cohen,Democratic,1949-05-24,2007-01-03
House,Louie Gohmert,Republican,1953-08-18,2005-01-03
House,Dan Crenshaw,Republican,1984-03-14,2019-01-03
House,Van Taylor,Republican,1972-08-01,2019-01-03
House,Pat Fallon,Republican,1967-12-19,2021-01-03
House,Ron Wright,Republican,1953-04-08,2019-01-03
House,Lizzie Pannill Fletcher,Democratic,1975-02-13,2019-01-03
House,Kevin Brady,Republican,1955-04-11,1997-01-03
House,Al Green,Democratic,1947-09-01,2005-01-03
House,Michael McCaul,Republican,1962-01-14,2005-01-03
House,August Pfluger,Republican,1978-01-01,2021-01-03
House,Kay Granger,Republican,1943-01-18,1997-01-03
House,Ronny Jackson,Republican,1967-05-04,2021-01-03
House,Randy Weber,Republican,1953-07-02,2013-01-03
